 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [nurse-4] [INFO] [1698537933.936790700] [nurse]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698537933.942252773] [environment]: Action: a_approach_arm
trials-all-1  | [nurse-4] [INFO] [1698537933.948069850] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698537933.952744913] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698537933.950930889] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [robot-6] [INFO] [1698537933.958559990] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698537933.962606044] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698537933.962449042] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698537933.967626112] [coordinator]: plans_actions_current 1 of 11
trials-all-1  | [environment-3] [INFO] [1698537933.970712153] [environment]: Responding
trials-all-1  | [nurse-4] [INFO] [1698537933.975153212] [nurse]: not ready
trials-all-1  | [arm-1] [INFO] [1698537933.982245307] [arm]: success
trials-all-1  | [nurse-4] [INFO] [1698537933.987984383] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698537933.993080451] [robot]: Action: a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698537933.998006517] [robot]: Doing a_approach_nurse
trials-all-1  | [nurse-4] [INFO] [1698537933.998238520] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698537934.002037571] [arm]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698537934.007452643] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698537934.023451856] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698537934.012055704] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698537934.033099984] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698537934.036974036] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698537934.051899235] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698537934.052609244] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698537934.055926288] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698537934.056153291] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698537934.063528389] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698537934.071087490] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698537934.075726552] [arm]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698537934.071552496] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698537934.084756672] [environment]: Receiving message: a_approach_nurse,robot1
