 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [robot-6] [INFO] [1698530276.107501155] [robot]: a_close_drawer
trials-all-1  | [nurse-4] [INFO] [1698530276.106598151] [nurse]: Nurse's actions:
trials-all-1  | [robot-6] [INFO] [1698530276.113881185] [robot]: a_navto
trials-all-1  | [robot-6] [INFO] [1698530276.119480211] [robot]: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698530276.123603230] [robot]: a_open_drawer
trials-all-1  | [nurse-4] [INFO] [1698530276.117082200] [nurse]: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698530276.128875255] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698530276.135587286] [robot]: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698530276.136094288] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698530276.142847320] [robot]: a_close_drawer
trials-all-1  | [environment-3] [INFO] [1698530276.150973358] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [environment-3] [INFO] [1698530276.159356397] [environment]: Action: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698530276.166933433] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698530276.172833460] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698530276.185849521] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698530276.190347542] [nurse]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698530276.193008554] [environment]: Responding
trials-all-1  | [nurse-4] [INFO] [1698530276.206207616] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698530276.210196635] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698530276.206594618] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698530276.208542627] [arm]: success
trials-all-1  | [arm-1] [INFO] [1698530276.212985648] [arm]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698530276.216382664] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698530276.216943666] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698530276.221438687] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698530276.228117718] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698530276.239220770] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698530276.246390804] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698530276.246963806] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698530276.261763876] [nurse]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698530276.263746885] [arm]: not ready
trials-all-1  | [nurse-4] [INFO] [1698530276.271310920] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698530276.271310920] [arm]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698530276.279554959] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698530276.280047961] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698530276.294072027] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [environment-3] [INFO] [1698530276.301225060] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698530276.302402065] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698530276.308139092] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698530276.321156153] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [environment-3] [INFO] [1698530276.326470178] [environment]: Receiving message: a_navto,robot1,Room1
trials-all-1  | [robot-6] [INFO] [1698530276.326956180] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698530276.331707202] [nurse]: not ready
trials-all-1  | [arm-1] [INFO] [1698530276.340785245] [arm]: not ready
trials-all-1  | [environment-3] [INFO] [1698530276.342337252] [environment]: Action: a_navto
trials-all-1  | [nurse-4] [INFO] [1698530276.342392252] [nurse]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698530276.346425271] [arm]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698530276.347130274] [environment]: Responding
