 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [robot-6] [INFO] [1698540147.180797749] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698540147.185618821] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698540147.194945961] [environment]: Action: a_navto
trials-all-1  | [nurse-4] [INFO] [1698540147.197698003] [nurse]: not ready
trials-all-1  | [environment-3] [INFO] [1698540147.199404028] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698540147.214500255] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698540147.217323297] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698540147.231790514] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698540147.242496675] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698540147.243907696] [arm]: not ready
trials-all-1  | [nurse-4] [INFO] [1698540147.251563811] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698540147.253225836] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698540147.255104864] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698540147.259133925] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698540147.264705009] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698540147.265350018] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698540147.269068074] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698540147.276950192] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [nurse-4] [INFO] [1698540147.281686263] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698540147.290060389] [nurse]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698540147.291686414] [coordinator]: action_complete
trials-all-1  | [nurse-4] [INFO] [1698540147.294406454] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698540147.298668518] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698540147.305448620] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698540147.309649683] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698540147.313123735] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698540147.325488921] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698540147.329009974] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698540147.326088930] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698540147.329827986] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698540147.336489086] [coordinator]: plans_actions_current 1 of 11
trials-all-1  | [arm-1] [INFO] [1698540147.339419130] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698540147.343566192] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698540147.346496236] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698540147.350569297] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698540147.346748240] [robot]: Action: a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698540147.350622298] [robot]: Doing a_approach_nurse
trials-all-1  | [nurse-4] [INFO] [1698540147.357073395] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698540147.361073455] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698540147.364292503] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698540147.372584628] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698540147.387496852] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698540147.391780916] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698540147.391992919] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698540147.397447001] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698540147.403296089] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698540147.411416211] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698540147.415157267] [nurse]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698540147.419078326] [environment]: Receiving message: a_approach_nurse,robot1
trials-all-1  | [arm-1] [INFO] [1698540147.419440331] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698540147.424002400] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698540147.427786456] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698540147.430333495] [environment]: Action: a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698540147.437092596] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698540147.443582694] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698540147.455013865] [environment]: Responding
trials-all-1  | [arm-1] [INFO] [1698540147.455609874] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698540147.462425976] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698540147.466809042] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698540147.464559008] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698540147.468276064] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698540147.480781252] [nurse]: not ready
trials-all-1  | [arm-1] [INFO] [1698540147.483273289] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698540147.491038406] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698540147.502975585] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698540147.506228634] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698540147.511492713] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698540147.519205829] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698540147.526554939] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698540147.530741002] [robot]: Action result: True
