 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [nurse-4] [INFO] [1698530713.672060467] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698530713.673103467] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698530713.680935469] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698530713.681594469] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698530713.693720473] [arm]: not ready
trials-all-1  | [nurse-4] [INFO] [1698530713.699711475] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698530713.708617477] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698530713.715338479] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698530713.716078479] [robot]: Action: a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698530713.724316481] [robot]: Doing a_approach_nurse
trials-all-1  | [arm-1] [INFO] [1698530713.725164482] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698530713.735159484] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698530713.739315486] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698530713.738594485] [environment]: Receiving message: a_approach_nurse,robot1
trials-all-1  | [nurse-4] [INFO] [1698530713.750032489] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698530713.753711490] [nurse]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698530713.750754489] [environment]: Action: a_approach_nurse
trials-all-1  | [environment-3] [INFO] [1698530713.754692490] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698530713.752199489] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698530713.762167492] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698530713.763014492] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698530713.777850496] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698530713.781350497] [robot]: success
trials-all-1  | [arm-1] [INFO] [1698530713.784044498] [arm]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698530713.782682498] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698530713.787158499] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698530713.798210502] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [coordinator-2] [INFO] [1698530713.799533502] [coordinator]: Receiving sync message: action_complete,a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698530713.803937504] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698530713.816262507] [coordinator]: action_complete
trials-all-1  | [nurse-4] [INFO] [1698530713.816721507] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698530713.821174508] [nurse]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698530713.818770508] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698530713.824227509] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698530713.826121510] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698530713.831687511] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698530713.829915511] [coordinator]: plans_actions_current 2 of 11
trials-all-1  | [robot-6] [INFO] [1698530713.834333512] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698530713.840047514] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698530713.851485517] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698530713.852614517] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698530713.857065518] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698530713.866343521] [robot]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698530713.866458521] [nurse]: not ready
trials-all-1  | [arm-1] [INFO] [1698530713.866534521] [arm]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698530713.871327522] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698530713.871548522] [robot]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698530713.878442524] [robot]: wating for nurse1 to authenticate to robot1
trials-all-1  | [arm-1] [INFO] [1698530713.878778524] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698530713.881703525] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698530713.884966526] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698530713.890225528] [robot]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698530713.892370528] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698530713.893381529] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698530713.900837531] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698530713.905904532] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698530713.913238534] [robot]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698530713.917526535] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698530713.918602536] [robot]: wating for nurse1 to authenticate to robot1
trials-all-1  | [robot-6] [INFO] [1698530713.924858537] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698530713.925156537] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698530713.933423540] [robot]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698530713.935672540] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698530713.939076541] [robot]: Authenticate nurse
trials-all-1  | [robot-6] [INFO] [1698530713.946652543] [robot]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698530713.948388544] [nurse]: success
trials-all-1  | [arm-1] [INFO] [1698530713.949724544] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698530713.952232545] [robot]: Doing a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698530713.953987545] [nurse]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698530713.961656548] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698530713.963996548] [nurse]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698530713.966946549] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698530713.973926551] [robot]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698530713.978987552] [nurse]: Doing a_deposit
trials-all-1  | [arm-1] [INFO] [1698530713.979881553] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698530713.988747555] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698530713.991692556] [coordinator]: Receiving sync message: action_complete,a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698530713.994739557] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698530714.008333560] [nurse]: not ready
trials-all-1  | [arm-1] [INFO] [1698530714.009677561] [arm]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698530714.015957562] [coordinator]: action_complete
trials-all-1  | [nurse-4] [INFO] [1698530714.016540562] [nurse]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698530714.021074563] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698530714.024520564] [nurse]: Action: a_deposit
trials-all-1  | [nurse-4] [INFO] [1698530714.032343566] [nurse]: Doing a_deposit
trials-all-1  | [arm-1] [INFO] [1698530714.036912567] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698530714.038643567] [coordinator]: plans_actions_current 3 of 11
trials-all-1  | [robot-6] [INFO] [1698530714.041882568] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698530714.046984569] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698530714.058909572] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
