 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [robot-6] [INFO] [1698533016.733162253] [robot]: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698533016.740980186] [robot]: a_navto
trials-all-1  | [robot-6] [INFO] [1698533016.747356132] [robot]: a_approach_arm
trials-all-1  | [environment-3] [INFO] [1698533016.753343081] [environment]: Responding
trials-all-1  | [arm-1] [INFO] [1698533016.766132972] [arm]: success
trials-all-1  | [environment-3] [INFO] [1698533016.768462952] [environment]: Receiving message: a_navto,robot1,Room1
trials-all-1  | [arm-1] [INFO] [1698533016.771054930] [arm]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698533016.771667925] [robot]: a_open_drawer
trials-all-1  | [arm-1] [INFO] [1698533016.775736890] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698533016.779370859] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698533016.784491815] [robot]: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698533016.788763779] [environment]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698533016.792298749] [robot]: a_close_drawer
trials-all-1  | [environment-3] [INFO] [1698533016.802744660] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698533016.808299612] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698533016.818086529] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698533016.827721447] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698533016.831431415] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698533016.829081435] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698533016.843497312] [robot]: success
trials-all-1  | [nurse-4] [INFO] [1698533016.844376305] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698533016.850119256] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698533016.844928300] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698533016.849243263] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698533016.850403253] [robot]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698533016.854970214] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698533016.863386143] [arm]: Action: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698533016.865956121] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [arm-1] [INFO] [1698533016.867296109] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698533016.867476108] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [coordinator-2] [INFO] [1698533016.873605055] [coordinator]: action_complete
trials-all-1  | [robot-6] [INFO] [1698533016.876049035] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698533016.888542928] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698533016.889779917] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698533016.892862891] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698533016.896872857] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698533016.897234854] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698533016.910763739] [coordinator]: plans_actions_current 1 of 11
trials-all-1  | [arm-1] [INFO] [1698533016.911016736] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698533016.915115701] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698533016.919891661] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698533016.923371631] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698533016.923441630] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698533016.953926371] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698533016.957841337] [robot]: Action: a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698533016.967741253] [robot]: Doing a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698533016.973563203] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698533016.982139130] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698533016.986210095] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698533016.986426093] [arm]: not ready
trials-all-1  | [nurse-4] [INFO] [1698533017.001714963] [nurse]: not ready
trials-all-1  | [arm-1] [INFO] [1698533017.010432889] [arm]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698533017.010455888] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698533017.014695852] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698533017.017128831] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698533017.025605759] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698533017.031725707] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698533017.032562699] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698533017.036816663] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698533017.046268582] [environment]: Receiving message: a_approach_nurse,robot1
trials-all-1  | [arm-1] [INFO] [1698533017.051355539] [arm]: not ready
trials-all-1  | [environment-3] [INFO] [1698533017.053235523] [environment]: Action: a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698533017.053506521] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698533017.057005491] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698533017.057721484] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698533017.069572383] [nurse]: not ready
trials-all-1  | [environment-3] [INFO] [1698533017.073509350] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698533017.084112259] [robot]: success
trials-all-1  | [nurse-4] [INFO] [1698533017.086899235] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698533017.087773228] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698533017.092696186] [arm]: Action: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698533017.096842150] [coordinator]: Receiving sync message: action_complete,a_approach_nurse
trials-all-1  | [nurse-4] [INFO] [1698533017.097406145] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698533017.102858099] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698533017.109909039] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698533017.116233985] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698533017.120922944] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698533017.127168891] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698533017.131123857] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698533017.139143789] [robot]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698533017.142993756] [robot]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698533017.146811723] [robot]: wating for nurse1 to authenticate to robot1
trials-all-1  | [robot-6] [INFO] [1698533017.150543691] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698533017.154299659] [robot]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698533017.159493615] [robot]: Doing a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698533017.122738929] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698533017.126742895] [coordinator]: plans_actions_current 2 of 11
trials-all-1  | [arm-1] [INFO] [1698533017.131400855] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698533017.149961696] [arm]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698533017.142881757] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698533017.154640656] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698533017.158634622] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698533017.163323582] [robot]: wating for nurse1 to authenticate to robot1
trials-all-1  | [robot-6] [INFO] [1698533017.167423547] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698533017.171475512] [robot]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698533017.167275548] [arm]: Action: a_pick_up_sample
