 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [arm-1] [INFO] [1698542425.565758739] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698542425.569919612] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698542425.575712436] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698542425.580759282] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698542425.576330417] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698542425.581060273] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698542425.594673859] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698542425.600151692] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698542425.604478561] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698542425.613955272] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698542425.618506134] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698542425.621321048] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698542425.628409832] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698542425.636410589] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698542425.641442436] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698542425.645643308] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698542425.643260380] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698542425.647119263] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698542425.654641034] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698542425.658889905] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698542425.665924691] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698542425.670319557] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698542425.674662425] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698542425.678909296] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698542425.681889205] [environment]: Receiving message: a_approach_nurse,robot1
trials-all-1  | [environment-3] [INFO] [1698542425.686530064] [environment]: Action: a_approach_nurse
trials-all-1  | [environment-3] [INFO] [1698542425.690740936] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698542425.688935991] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698542425.692435884] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698542425.691207922] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698542425.699936656] [arm]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698542425.700326644] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698542425.706823446] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698542425.710774326] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698542425.715061196] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698542425.720378034] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698542425.723057952] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698542425.727120829] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698542425.736454545] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698542425.738962469] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698542425.740375426] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698542425.748806169] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698542425.763632718] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698542425.767486601] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698542425.771593476] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698542425.773745410] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698542425.777948282] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698542425.787742984] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698542425.792986825] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698542425.796642714] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698542425.801292572] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698542425.793323815] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698542425.797032702] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698542425.793823799] [coordinator]: Receiving sync message: action_complete,a_approach_nurse
trials-all-1  | [coordinator-2] [INFO] [1698542425.798629653] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698542425.803272512] [coordinator]: plans_actions_current 2 of 11
trials-all-1  | [nurse-4] [INFO] [1698542425.805407447] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698542425.809690317] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698542425.817899067] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698542425.821809948] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698542425.826345810] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698542425.830723677] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698542425.840341384] [robot]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698542425.844432259] [robot]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698542425.852792005] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698542425.842689312] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698542425.846590194] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698542425.851173054] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698542425.854896941] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698542425.857165872] [robot]: Authenticate nurse
trials-all-1  | [nurse-4] [INFO] [1698542425.865215627] [nurse]: success
trials-all-1  | [nurse-4] [INFO] [1698542425.870020481] [nurse]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698542425.876313289] [robot]: wating for nurse1 to authenticate to robot1
trials-all-1  | [robot-6] [INFO] [1698542425.880520161] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698542425.885101022] [robot]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698542425.888179928] [nurse]: Action: a_deposit
trials-all-1  | [nurse-4] [INFO] [1698542425.892511797] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698542425.899437586] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698542425.903628458] [robot]: Doing a_authenticate_nurse
