 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [environment-3] [INFO] [1698540013.648326843] [environment]: Receiving message: a_approach_nurse,robot1
trials-all-1  | [nurse-4] [INFO] [1698540013.651034900] [nurse]: not ready
trials-all-1  | [environment-3] [INFO] [1698540013.655592995] [environment]: Action: a_approach_nurse
trials-all-1  | [nurse-4] [INFO] [1698540013.655672996] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698540013.665770207] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698540013.670264301] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698540013.671895335] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698540013.673742374] [environment]: Responding
trials-all-1  | [nurse-4] [INFO] [1698540013.682656560] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698540013.685433617] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698540013.689486702] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698540013.692498765] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698540013.695971837] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698540013.701959962] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698540013.706215051] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698540013.699084902] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698540013.702860981] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698540013.714536225] [coordinator]: Receiving sync message: action_complete,a_approach_nurse
trials-all-1  | [nurse-4] [INFO] [1698540013.715546246] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698540013.719786334] [nurse]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698540013.724272428] [coordinator]: action_complete
trials-all-1  | [robot-6] [INFO] [1698540013.728981526] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698540013.735860670] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698540013.740335763] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698540013.744929859] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698540013.745874879] [coordinator]: plans_actions_current 2 of 11
trials-all-1  | [arm-1] [INFO] [1698540013.754888067] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698540013.758688146] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698540013.762445225] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698540013.759379161] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698540013.763101238] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698540013.774497476] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698540013.778987570] [nurse]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698540013.779251575] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698540013.785123698] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698540013.792623854] [robot]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698540013.797056947] [robot]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698540013.801267035] [robot]: wating for nurse1 to authenticate to robot1
trials-all-1  | [nurse-4] [INFO] [1698540013.807564166] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698540013.815024322] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698540013.824857527] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698540013.826331558] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698540013.837078782] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698540013.840674857] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698540013.845017948] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698540013.848343017] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698540013.839047823] [robot]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698540013.842682899] [robot]: Doing a_authenticate_nurse
