 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [robot-6] [INFO] [1698534429.627303030] [robot]: a_deposit
trials-all-1  | [arm-1] [INFO] [1698534429.618072296] [arm]: Arm's actions:
trials-all-1  | [arm-1] [INFO] [1698534429.621817188] [arm]: a_approach_arm
trials-all-1  | [nurse-4] [INFO] [1698534429.618244291] [nurse]: Nurse's actions:
trials-all-1  | [nurse-4] [INFO] [1698534429.622249175] [nurse]: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698534429.628635992] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [planner-5] [INFO] [1698534429.620475226] [planner]: Receiving sync message. update_state,door_closed,Room3
trials-all-1  | [planner-5] [INFO] [1698534429.624759103] [planner]: door_closed
trials-all-1  | [coordinator-2] [INFO] [1698534429.640072662] [coordinator]: Planner state updated
trials-all-1  | [coordinator-2] [INFO] [1698534429.643643560] [coordinator]: Planing
trials-all-1  | [robot-6] [INFO] [1698534429.641385625] [robot]: Doing a_navto
trials-all-1  | [robot-6] [INFO] [1698534429.645757499] [robot]: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698534429.650405365] [robot]: a_navto
trials-all-1  | [arm-1] [INFO] [1698534429.646244485] [arm]: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698534429.646895466] [nurse]: a_deposit
trials-all-1  | [robot-6] [INFO] [1698534429.654556246] [robot]: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698534429.669888805] [robot]: a_open_drawer
trials-all-1  | [arm-1] [INFO] [1698534429.657063174] [arm]: Action: a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698534429.661074058] [arm]: Doing a_approach_arm
trials-all-1  | [nurse-4] [INFO] [1698534429.662450019] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698534429.664219968] [environment]: Receiving message: a_navto,robot1,Room1
trials-all-1  | [environment-3] [INFO] [1698534429.670819778] [environment]: Action: a_navto
trials-all-1  | [coordinator-2] [INFO] [1698534429.665368935] [coordinator]: Creating plan for: robot1, nurse1, arm1 
trials-all-1  | [planner-5] [INFO] [1698534429.671587756] [planner]: Receiving sync message. need_plan,robot1,nurse1,arm1
trials-all-1  | [robot-6] [INFO] [1698534429.673839691] [robot]: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698534429.675003657] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698534429.677747578] [robot]: a_close_drawer
trials-all-1  | [planner-5] [INFO] [1698534429.682002456] [planner]: Creating plan for: robot1 robot1 nurse1
trials-all-1  | [robot-6] [INFO] [1698534429.695139078] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698534429.700723917] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698534429.711855597] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698534429.720740341] [robot]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698534429.712098590] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698534429.715614489] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698534429.720274355] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698534429.724216241] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698534429.716517463] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [environment-3] [INFO] [1698534429.720193357] [environment]: Action: a_approach_arm
trials-all-1  | [coordinator-2] [INFO] [1698534429.726310181] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [coordinator-2] [INFO] [1698534429.732751996] [coordinator]: action_complete
trials-all-1  | [robot-6] [INFO] [1698534429.742835706] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [planner-5] [INFO] [1698534429.746142610] [planner]: a_navto,robot1,Room1
trials-all-1  | [environment-3] [INFO] [1698534429.748618539] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698534429.755277348] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698534429.757321289] [coordinator]: plans_actions_current 1 of 11
trials-all-1  | [planner-5] [INFO] [1698534429.760951184] [planner]: a_approach_nurse,robot1
trials-all-1  | [arm-1] [INFO] [1698534429.761740162] [arm]: success
trials-all-1  | [planner-5] [INFO] [1698534429.764938070] [planner]: a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698534429.765616050] [arm]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698534429.769813929] [arm]: Action: a_pick_up_sample
trials-all-1  | [planner-5] [INFO] [1698534429.769197947] [planner]: a_open_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698534429.777942695] [planner]: a_deposit,nurse1,robot1
trials-all-1  | [planner-5] [INFO] [1698534429.782024578] [planner]: a_close_drawer,robot1
trials-all-1  | [robot-6] [INFO] [1698534429.780051635] [robot]: Action: a_approach_nurse
trials-all-1  | [nurse-4] [INFO] [1698534429.781389596] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698534429.785171487] [nurse]: Action result: False
trials-all-1  | [planner-5] [INFO] [1698534429.786357453] [planner]: a_open_door,nurse1,Room3
trials-all-1  | [arm-1] [INFO] [1698534429.789584360] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698534429.790128345] [robot]: Doing a_approach_nurse
trials-all-1  | [planner-5] [INFO] [1698534429.790657330] [planner]: a_navto,robot1,Room3
trials-all-1  | [nurse-4] [INFO] [1698534429.792686271] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698534429.796769154] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698534429.798187113] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698534429.801461019] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698534429.808059829] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698534429.812024715] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698534429.799427077] [environment]: Receiving message: a_approach_nurse,robot1
trials-all-1  | [planner-5] [INFO] [1698534429.805630899] [planner]: a_approach_arm,robot1,arm1
trials-all-1  | [planner-5] [INFO] [1698534429.810246766] [planner]: a_open_drawer,robot1
trials-all-1  | [arm-1] [INFO] [1698534429.811754723] [arm]: not ready
trials-all-1  | [planner-5] [INFO] [1698534429.820002485] [planner]: a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698534429.820475472] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698534429.824629352] [nurse]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698534429.824954343] [environment]: Action: a_approach_nurse
trials-all-1  | [arm-1] [INFO] [1698534429.831393157] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698534429.835342044] [arm]: Action: a_pick_up_sample
trials-all-1  | [planner-5] [INFO] [1698534429.836396013] [planner]: a_close_drawer,robot1
trials-all-1  | [arm-1] [INFO] [1698534429.838782945] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698534429.840508895] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698534429.844656776] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [planner-5] [INFO] [1698534429.842247845] [planner]: Sending response
trials-all-1  | [robot-6] [INFO] [1698534429.848283671] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698534429.851785571] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698534429.854665488] [coordinator]: Plan received for: robot1, nurse1, arm1 
trials-all-1  | [environment-3] [INFO] [1698534429.855652459] [environment]: Responding
trials-all-1  | [coordinator-2] [INFO] [1698534429.860618317] [coordinator]: a_navto,robot1,Room1/a_approach_nurse,robot1/a_authenticate_nurse,robot1,nurse1/a_open_drawer,robot1/a_deposit,nurse1,robot1/a_close_drawer,robot1/a_open_door,nurse1,Room3/a_navto,robot1,Room3/a_approach_arm,robot1,arm1/a_open_drawer,robot1/a_pick_up_sample,arm1,robot1/a_close_drawer,robot1
trials-all-1  | [arm-1] [INFO] [1698534429.867823109] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698534429.872134985] [arm]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698534429.874305923] [coordinator]: a_navto,robot1,Room1
trials-all-1  | [arm-1] [INFO] [1698534429.875756881] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698534429.880853734] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698534429.884891618] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698534429.886680567] [coordinator]: a_approach_nurse,robot1
trials-all-1  | [nurse-4] [INFO] [1698534429.892660395] [nurse]: not ready
