 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [robot-6] [INFO] [1698541958.107595937] [robot]: not ready
trials-all-1  | [planner-5] [INFO] [1698541958.107889919] [planner]: a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698541958.118368271] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698541958.118691251] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698541958.124878868] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698541958.127126729] [arm]: Action result: False
trials-all-1  | [planner-5] [INFO] [1698541958.130849498] [planner]: a_close_drawer,robot1
trials-all-1  | [environment-3] [INFO] [1698541958.131602452] [environment]: Responding
trials-all-1  | [nurse-4] [INFO] [1698541958.141215857] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698541958.149941317] [nurse]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698541958.150213301] [arm]: Action: a_pick_up_sample
trials-all-1  | [planner-5] [INFO] [1698541958.149281358] [planner]: Sending response
trials-all-1  | [robot-6] [INFO] [1698541958.162670530] [robot]: success
trials-all-1  | [coordinator-2] [INFO] [1698541958.164503417] [coordinator]: Plan received for: robot1, nurse1, arm1 
trials-all-1  | [robot-6] [INFO] [1698541958.168012200] [robot]: Action result: True
trials-all-1  | [coordinator-2] [INFO] [1698541958.170143068] [coordinator]: a_navto,robot1,Room1/a_approach_nurse,robot1/a_authenticate_nurse,robot1,nurse1/a_open_drawer,robot1/a_deposit,nurse1,robot1/a_close_drawer,robot1/a_open_door,nurse1,Room3/a_navto,robot1,Room3/a_approach_arm,robot1,arm1/a_open_drawer,robot1/a_pick_up_sample,arm1,robot1/a_close_drawer,robot1
trials-all-1  | [nurse-4] [INFO] [1698541958.171171004] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698541958.176185694] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698541958.183238258] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698541958.183955213] [coordinator]: Receiving sync message: action_complete,a_approach_nurse
trials-all-1  | [coordinator-2] [INFO] [1698541958.192054712] [coordinator]: a_navto,robot1,Room1
trials-all-1  | [robot-6] [INFO] [1698541958.199512251] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [coordinator-2] [INFO] [1698541958.199545249] [coordinator]: action_complete
trials-all-1  | [robot-6] [INFO] [1698541958.204642934] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698541958.205216898] [coordinator]: plans_actions_current 2 of 11
trials-all-1  | [coordinator-2] [INFO] [1698541958.211302522] [coordinator]: a_approach_nurse,robot1
trials-all-1  | [nurse-4] [INFO] [1698541958.216636192] [nurse]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698541958.219492015] [coordinator]: a_authenticate_nurse,robot1,nurse1
trials-all-1  | [coordinator-2] [INFO] [1698541958.228588452] [coordinator]: a_open_drawer,robot1
trials-all-1  | [nurse-4] [INFO] [1698541958.231491273] [nurse]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698541958.234202105] [coordinator]: a_deposit,nurse1,robot1
