 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [robot-6] [INFO] [1698534927.355175787] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698534927.359091728] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698534927.356561766] [nurse]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698534927.357355754] [coordinator]: Receiving sync message: action_complete,a_open_drawer
trials-all-1  | [nurse-4] [INFO] [1698534927.365306634] [nurse]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698534927.370907549] [arm]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698534927.375429480] [coordinator]: action_complete
trials-all-1  | [nurse-4] [INFO] [1698534927.377736446] [nurse]: Action: a_deposit
trials-all-1  | [arm-1] [INFO] [1698534927.384574342] [arm]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698534927.393385209] [nurse]: Doing a_deposit
trials-all-1  | [arm-1] [INFO] [1698534927.394222196] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698534927.401156091] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698534927.402137076] [coordinator]: plans_actions_current 4 of 11
trials-all-1  | [robot-6] [INFO] [1698534927.409422966] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698534927.419284816] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698534927.420963791] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698534927.425068729] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698534927.425574721] [robot]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698534927.429650659] [robot]: Doing a_deposit
trials-all-1  | [nurse-4] [INFO] [1698534927.436171560] [nurse]: Action: a_deposit
trials-all-1  | [nurse-4] [INFO] [1698534927.439843505] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698534927.439910504] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698534927.445171424] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698534927.449805354] [robot]: wating for nurse1 to deposit in robot1
trials-all-1  | [arm-1] [INFO] [1698534927.455119273] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698534927.462703159] [robot]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698534927.473041002] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698534927.484689826] [robot]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698534927.488841763] [robot]: Doing a_deposit
trials-all-1  | [arm-1] [INFO] [1698534927.484892823] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698534927.488932761] [arm]: Doing a_pick_up_sample
