 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [robot-6] [INFO] [1698530969.018002182] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [environment-3] [INFO] [1698530969.021630284] [environment]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698530969.022281302] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698530969.030142522] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698530969.034596647] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698530969.041344836] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698530969.043987910] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698530969.056134250] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698530969.059768352] [robot]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698530969.062083417] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698530969.068898608] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698530969.073317732] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698530969.079037892] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [environment-3] [INFO] [1698530969.081611964] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [nurse-4] [INFO] [1698530969.081861971] [nurse]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698530969.085321068] [coordinator]: action_complete
trials-all-1  | [nurse-4] [INFO] [1698530969.086306095] [nurse]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698530969.086634105] [environment]: Action: a_approach_arm
trials-all-1  | [nurse-4] [INFO] [1698530969.093609300] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698530969.097992423] [nurse]: Doing a_authenticate_nurse
