 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [nurse-4] [INFO] [1698531238.081634587] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698531238.084957659] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698531238.071128358] [coordinator]: plans_actions_current 1 of 11
trials-all-1  | [arm-1] [INFO] [1698531238.081034574] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698531238.084615652] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698531238.096511911] [arm]: Action: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698531238.100688002] [environment]: Receiving message: a_approach_nurse,robot1
trials-all-1  | [arm-1] [INFO] [1698531238.108848180] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698531238.115832332] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [environment-3] [INFO] [1698531238.117188361] [environment]: Action: a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698531238.135659763] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698531238.146501999] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698531238.150496086] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698531238.147166014] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698531238.150743092] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698531238.154498173] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698531238.158067251] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698531238.173061578] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698531238.183016794] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698531238.188661917] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698531238.192216995] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698531238.189734941] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698531238.193614025] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698531238.204300258] [nurse]: not ready
trials-all-1  | [environment-3] [INFO] [1698531238.206139298] [environment]: Responding
trials-all-1  | [nurse-4] [INFO] [1698531238.216136515] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698531238.222788660] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698531238.226042731] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698531238.231801856] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698531238.230706833] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698531238.240555047] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698531238.251189279] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698531238.256603396] [robot]: success
trials-all-1  | [arm-1] [INFO] [1698531238.264901577] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698531238.266499612] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698531238.272511743] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698531238.278193866] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698531238.280075907] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698531238.284774010] [coordinator]: Receiving sync message: action_complete,a_approach_nurse
trials-all-1  | [coordinator-2] [INFO] [1698531238.291092147] [coordinator]: action_complete
trials-all-1  | [nurse-4] [INFO] [1698531238.287539070] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698531238.291418154] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698531238.295764249] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698531238.302149388] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698531238.307381502] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
