 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [robot-6] [INFO] [1698536429.239106331] [robot]: success
trials-all-1  | [arm-1] [INFO] [1698536429.242068405] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698536429.242813424] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698536429.244830475] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698536429.248887577] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698536429.256278764] [coordinator]: Receiving sync message: action_complete,a_approach_nurse
trials-all-1  | [arm-1] [INFO] [1698536429.259261839] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698536429.260514870] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698536429.264497971] [coordinator]: plans_actions_current 2 of 11
trials-all-1  | [robot-6] [INFO] [1698536429.278607326] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698536429.280280368] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698536429.290613629] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698536429.294843736] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698536429.294836735] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698536429.309848114] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698536429.314859240] [robot]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698536429.319325353] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698536429.326494533] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698536429.331445658] [robot]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698536429.332511685] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698536429.336012773] [robot]: wating for nurse1 to authenticate to robot1
trials-all-1  | [arm-1] [INFO] [1698536429.337836819] [arm]: Doing a_pick_up_sample
