 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [arm-1] [INFO] [1698529655.835158989] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698529655.844321121] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698529655.843104104] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698529655.847586168] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698529655.856338294] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698529655.859541340] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698529655.865765430] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698529655.871400511] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698529655.871789516] [environment]: Responding
trials-all-1  | [arm-1] [INFO] [1698529655.873678543] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698529655.882623672] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698529655.886791732] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698529655.885655716] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698529655.891633802] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698529655.901576945] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698529655.905700004] [robot]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698529655.902042952] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698529655.906059009] [nurse]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698529655.909047052] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698529655.915544146] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698529655.917056168] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698529655.919981210] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698529655.921978238] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [arm-1] [INFO] [1698529655.928728335] [arm]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698529655.929544347] [coordinator]: action_complete
trials-all-1  | [nurse-4] [INFO] [1698529655.932746393] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698529655.933159399] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698529655.942794538] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698529655.947267602] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698529655.949851639] [arm]: Action: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698529655.952704680] [coordinator]: plans_actions_current 1 of 11
trials-all-1  | [arm-1] [INFO] [1698529655.954194702] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698529655.963485835] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698529655.968125902] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698529655.976438022] [robot]: Action: a_approach_nurse
trials-all-1  | [nurse-4] [INFO] [1698529655.981359093] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698529655.990561225] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698529655.996896316] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698529656.005944446] [robot]: Doing a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698529656.019038633] [robot]: not ready
