 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [robot-6] [INFO] [1698542129.774699398] [robot]: a_navto
trials-all-1  | [robot-6] [INFO] [1698542129.778963194] [robot]: a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698542129.772200518] [arm]: Arm's actions:
trials-all-1  | [environment-3] [INFO] [1698542129.782314033] [environment]: Receiving message: a_navto,robot1,Room1
trials-all-1  | [robot-6] [INFO] [1698542129.783278987] [robot]: a_open_drawer
trials-all-1  | [nurse-4] [INFO] [1698542129.783836960] [nurse]: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698542129.788084757] [robot]: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698542129.791647586] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698542129.792853528] [robot]: a_close_drawer
trials-all-1  | [arm-1] [INFO] [1698542129.796816338] [arm]: Action: a_approach_arm
trials-all-1  | [nurse-4] [INFO] [1698542129.801165129] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698542129.802442068] [arm]: a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698542129.815063463] [arm]: Doing a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698542129.815110461] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698542129.819282261] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698542129.825136980] [environment]: Action: a_navto
trials-all-1  | [nurse-4] [INFO] [1698542129.835724472] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698542129.843320108] [nurse]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698542129.846247967] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698542129.873321669] [robot]: success
trials-all-1  | [nurse-4] [INFO] [1698542129.876582513] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698542129.882366236] [robot]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698542129.886262049] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698542129.889188908] [environment]: Receiving message: monitor
trials-all-1  | [coordinator-2] [INFO] [1698542129.896645551] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [coordinator-2] [INFO] [1698542129.900249378] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698542129.903782209] [coordinator]: plans_actions_current 1 of 11
trials-all-1  | [robot-6] [INFO] [1698542129.900404371] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698542129.904366181] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698542129.917906531] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698542129.924661207] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698542129.928385029] [robot]: Action: a_approach_nurse
trials-all-1  | [environment-3] [INFO] [1698542129.931401884] [environment]: Action: monitor
trials-all-1  | [nurse-4] [INFO] [1698542129.931747868] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698542129.939378502] [robot]: Doing a_approach_nurse
trials-all-1  | [nurse-4] [INFO] [1698542129.940057469] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698542129.944500256] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [environment-3] [INFO] [1698542129.948665056] [environment]: Action: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698542129.949606011] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698542129.958636578] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698542129.970714999] [nurse]: not ready
trials-all-1  | [environment-3] [INFO] [1698542129.971627955] [environment]: Responding
trials-all-1  | [environment-3] [INFO] [1698542129.981381488] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698542129.985202304] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698542129.981741470] [arm]: success
trials-all-1  | [arm-1] [INFO] [1698542129.985829274] [arm]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698542129.981922462] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698542129.986076262] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698542129.996569759] [environment]: Receiving message: a_approach_nurse,robot1
trials-all-1  | [environment-3] [INFO] [1698542130.000554568] [environment]: Action: a_approach_nurse
trials-all-1  | [nurse-4] [INFO] [1698542129.999123637] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698542129.999297628] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698542130.004414383] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698542130.014721889] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698542130.020032635] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698542130.031728075] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698542130.032688029] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698542130.037281809] [nurse]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698542130.025208387] [environment]: Responding
trials-all-1  | [nurse-4] [INFO] [1698542130.042143577] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698542130.046973345] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698542130.058360800] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698542130.058608788] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698542130.062435605] [robot]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698542130.063921534] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698542130.066924390] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698542130.070918199] [arm]: Action: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698542130.074427031] [coordinator]: Receiving sync message: action_complete,a_approach_nurse
trials-all-1  | [arm-1] [INFO] [1698542130.075686971] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698542130.082084664] [coordinator]: action_complete
trials-all-1  | [robot-6] [INFO] [1698542130.083431600] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698542130.089148326] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698542130.094012093] [coordinator]: plans_actions_current 2 of 11
trials-all-1  | [nurse-4] [INFO] [1698542130.099838814] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698542130.107173463] [nurse]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698542130.108536398] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698542130.112575204] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698542130.117021991] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698542130.117021991] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698542130.126857520] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698542130.132209264] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698542130.145546626] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698542130.145748616] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698542130.150295398] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698542130.152971270] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698542130.158662998] [robot]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698542130.163200780] [robot]: Doing a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698542130.168444529] [nurse]: not ready
trials-all-1  | [arm-1] [INFO] [1698542130.170154447] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698542130.172843319] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698542130.184732749] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698542130.189026544] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698542130.189225534] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698542130.199413047] [robot]: wating for nurse1 to authenticate to robot1
trials-all-1  | [robot-6] [INFO] [1698542130.206648700] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698542130.208946590] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698542130.219192100] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698542130.223531892] [arm]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698542130.224297855] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698542130.226758737] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698542130.229248618] [robot]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698542130.240180095] [robot]: Authenticate nurse
trials-all-1  | [arm-1] [INFO] [1698542130.235492319] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698542130.239561124] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698542130.238322184] [environment]: Receiving message: monitor
trials-all-1  | [nurse-4] [INFO] [1698542130.249259660] [nurse]: success
trials-all-1  | [nurse-4] [INFO] [1698542130.254145426] [nurse]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698542130.260676113] [robot]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698542130.262470027] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698542130.263953956] [nurse]: Action: a_deposit
trials-all-1  | [nurse-4] [INFO] [1698542130.267979764] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698542130.276813341] [robot]: Action result: True
trials-all-1  | [environment-3] [INFO] [1698542130.278590256] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698542130.280365171] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698542130.290478686] [coordinator]: Receiving sync message: action_complete,a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698542130.294152510] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698542130.298494303] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698542130.304044037] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698542130.304728004] [arm]: not ready
trials-all-1  | [nurse-4] [INFO] [1698542130.307612866] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698542130.312243644] [nurse]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698542130.313420588] [coordinator]: plans_actions_current 3 of 11
trials-all-1  | [arm-1] [INFO] [1698542130.315871471] [arm]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698542130.316701431] [nurse]: Action: a_deposit
trials-all-1  | [nurse-4] [INFO] [1698542130.321358208] [nurse]: Doing a_deposit
trials-all-1  | [arm-1] [INFO] [1698542130.321739190] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698542130.330456772] [robot]: Action: a_open_drawer
trials-all-1  | [arm-1] [INFO] [1698542130.332156691] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698542130.335116549] [robot]: Doing a_open_drawer
trials-all-1  | [environment-3] [INFO] [1698542130.339234352] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698542130.340000315] [robot]: success
trials-all-1  | [environment-3] [INFO] [1698542130.344809085] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698542130.349112879] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698542130.356815510] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698542130.363109209] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698542130.369130921] [arm]: not ready
