 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [robot-6] [INFO] [1698539450.354119632] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [environment-3] [INFO] [1698539450.355050619] [environment]: Receiving message: a_approach_nurse,robot1
trials-all-1  | [environment-3] [INFO] [1698539450.358911566] [environment]: Action: a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698539450.359160562] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698539450.367806444] [nurse]: not ready
trials-all-1  | [arm-1] [INFO] [1698539450.368453435] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698539450.372908374] [nurse]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698539450.376913319] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698539450.381629254] [environment]: Responding
trials-all-1  | [nurse-4] [INFO] [1698539450.391181123] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698539450.393172095] [environment]: Receiving message: monitor
trials-all-1  | [nurse-4] [INFO] [1698539450.396528049] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698539450.399586007] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698539450.403858949] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698539450.411875839] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698539450.415348791] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698539450.416504775] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698539450.422428694] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698539450.427920618] [robot]: success
trials-all-1  | [arm-1] [INFO] [1698539450.431120574] [arm]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698539450.432637553] [nurse]: not ready
trials-all-1  | [arm-1] [INFO] [1698539450.437358489] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698539450.440010452] [robot]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698539450.445671375] [nurse]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698539450.446842358] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698539450.449890317] [environment]: Receiving message: monitor
trials-all-1  | [nurse-4] [INFO] [1698539450.450441309] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698539450.458807194] [coordinator]: Receiving sync message: action_complete,a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698539450.459758181] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698539450.462514143] [coordinator]: action_complete
trials-all-1  | [nurse-4] [INFO] [1698539450.465118108] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698539450.466304091] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698539450.467045081] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698539450.481489883] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [coordinator-2] [INFO] [1698539450.482418870] [coordinator]: plans_actions_current 2 of 11
trials-all-1  | [arm-1] [INFO] [1698539450.487927794] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698539450.492320734] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698539450.494072710] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698539450.506559539] [robot]: Action: a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698539450.509837494] [environment]: Receiving message: monitor
trials-all-1  | [nurse-4] [INFO] [1698539450.510016491] [nurse]: not ready
trials-all-1  | [environment-3] [INFO] [1698539450.514115435] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698539450.523255309] [robot]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698539450.527679249] [robot]: wating for nurse1 to authenticate to robot1
trials-all-1  | [nurse-4] [INFO] [1698539450.530096215] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698539450.534513155] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698539450.540244076] [arm]: Action: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698539450.541839054] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698539450.546229994] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698539450.559148817] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698539450.562398772] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698539450.567683699] [robot]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698539450.581678507] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698539450.584032475] [robot]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698539450.588304416] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [environment-3] [INFO] [1698539450.591828368] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698539450.599827258] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698539450.606845162] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698539450.609443126] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698539450.615938037] [robot]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698539450.622986940] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698539450.623695930] [arm]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698539450.623995926] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698539450.628818860] [robot]: Authenticate nurse
trials-all-1  | [arm-1] [INFO] [1698539450.629542850] [arm]: Action: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698539450.631151828] [coordinator]: Receiving sync message: action_complete,a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698539450.637435742] [coordinator]: action_complete
trials-all-1  | [nurse-4] [INFO] [1698539450.639009720] [nurse]: success
trials-all-1  | [nurse-4] [INFO] [1698539450.644446645] [nurse]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698539450.659341441] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698539450.659391440] [environment]: Action: monitor
trials-all-1  | [coordinator-2] [INFO] [1698539450.661429412] [coordinator]: plans_actions_current 3 of 11
trials-all-1  | [nurse-4] [INFO] [1698539450.672111266] [nurse]: Action: a_deposit
trials-all-1  | [nurse-4] [INFO] [1698539450.678730175] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698539450.678060184] [robot]: Action: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698539450.690306016] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [environment-3] [INFO] [1698539450.695262948] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698539450.695439945] [robot]: Doing a_open_drawer
trials-all-1  | [environment-3] [INFO] [1698539450.699680887] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698539450.700269879] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698539450.708048772] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698539450.716334658] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698539450.722317576] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698539450.730082470] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698539450.735277398] [arm]: Action: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698539450.736901376] [coordinator]: Receiving sync message: action_complete,a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698539450.737073374] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698539450.741214317] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698539450.745155263] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698539450.749701200] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698539450.753889143] [environment]: Action: monitor
trials-all-1  | [nurse-4] [INFO] [1698539450.753910142] [nurse]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698539450.762612023] [coordinator]: action_complete
trials-all-1  | [nurse-4] [INFO] [1698539450.764783993] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698539450.769772925] [nurse]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698539450.775234850] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698539450.780581776] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698539450.782211754] [coordinator]: plans_actions_current 4 of 11
trials-all-1  | [nurse-4] [INFO] [1698539450.783084742] [nurse]: Doing a_deposit
trials-all-1  | [arm-1] [INFO] [1698539450.797996537] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698539450.801036495] [robot]: Action: a_deposit
trials-all-1  | [arm-1] [INFO] [1698539450.803747458] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698539450.806988414] [robot]: Doing a_deposit
trials-all-1  | [environment-3] [INFO] [1698539450.810404367] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698539450.811866347] [arm]: Action: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698539450.814625309] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698539450.814924305] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [arm-1] [INFO] [1698539450.827396134] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698539450.827894127] [robot]: wating for nurse1 to deposit in robot1
trials-all-1  | [environment-3] [INFO] [1698539450.833639048] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698539450.838038987] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698539450.848590843] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698539450.850809812] [robot]: Deposit
trials-all-1  | [environment-3] [INFO] [1698539450.858813702] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698539450.861243669] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
