 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [nurse-4] [INFO] [1698540279.149083211] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698540279.154292276] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698540279.158855334] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698540279.161727370] [environment]: Receiving message: a_approach_nurse,robot1
trials-all-1  | [robot-6] [INFO] [1698540279.163913397] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698540279.166286427] [environment]: Action: a_approach_nurse
trials-all-1  | [arm-1] [INFO] [1698540279.176119551] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698540279.180511606] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698540279.182715634] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698540279.187599695] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698540279.194406781] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698540279.200879862] [nurse]: not ready
trials-all-1  | [arm-1] [INFO] [1698540279.201682872] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698540279.204934913] [environment]: Responding
trials-all-1  | [nurse-4] [INFO] [1698540279.215331044] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698540279.226223181] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698540279.231465247] [robot]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698540279.243623400] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698540279.249609475] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698540279.251147494] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698540279.251871503] [coordinator]: Receiving sync message: action_complete,a_approach_nurse
trials-all-1  | [coordinator-2] [INFO] [1698540279.257007568] [coordinator]: action_complete
trials-all-1  | [robot-6] [INFO] [1698540279.257780578] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698540279.265634677] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698540279.267962706] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698540279.269411724] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698540279.274086783] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698540279.282328887] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698540279.286774942] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698540279.290488989] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698540279.296326063] [nurse]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698540279.302098135] [coordinator]: plans_actions_current 2 of 11
trials-all-1  | [robot-6] [INFO] [1698540279.306726193] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698540279.311562254] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698540279.314447290] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698540279.315492304] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698540279.327194451] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698540279.340812622] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698540279.345220677] [robot]: Action: a_authenticate_nurse
