 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [nurse-4] [INFO] [1698535059.561497856] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698535059.565989818] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698535059.562823845] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698535059.571030776] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698535059.568837795] [environment]: Action: a_navto
trials-all-1  | [environment-3] [INFO] [1698535059.572540764] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698535059.572031768] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698535059.577335724] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698535059.594895577] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698535059.599035542] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698535059.603058508] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698535059.610433447] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698535059.614458413] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698535059.623334339] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698535059.628611295] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698535059.633320255] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698535059.644488162] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698535059.649778118] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698535059.654343080] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698535059.660747026] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698535059.665144989] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698535059.668910958] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698535059.668926958] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [nurse-4] [INFO] [1698535059.680052865] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698535059.684530827] [nurse]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698535059.687548802] [coordinator]: action_complete
trials-all-1  | [nurse-4] [INFO] [1698535059.688855791] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698535059.692825758] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698535059.695321737] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698535059.699116705] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698535059.709109622] [arm]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698535059.712615592] [coordinator]: plans_actions_current 1 of 11
trials-all-1  | [arm-1] [INFO] [1698535059.716164563] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698535059.729646450] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698535059.734945406] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698535059.739895364] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698535059.738131379] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698535059.750397276] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698535059.754805239] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698535059.762548175] [robot]: Action: a_approach_nurse
trials-all-1  | [nurse-4] [INFO] [1698535059.768882122] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698535059.773296085] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698535059.779068037] [robot]: Doing a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698535059.782383009] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698535059.791164935] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698535059.798209876] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698535059.802184843] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698535059.803827829] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698535059.812616756] [arm]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698535059.822319675] [nurse]: not ready
trials-all-1  | [environment-3] [INFO] [1698535059.823812662] [environment]: Receiving message: a_approach_nurse,robot1
trials-all-1  | [environment-3] [INFO] [1698535059.827299633] [environment]: Action: a_approach_nurse
trials-all-1  | [nurse-4] [INFO] [1698535059.829215617] [nurse]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698535059.830559606] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698535059.836157559] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698535059.840475523] [environment]: Responding
trials-all-1  | [nurse-4] [INFO] [1698535059.840800520] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698535059.847205467] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698535059.851670429] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698535059.851842428] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698535059.868783286] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698535059.874780236] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698535059.879538196] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698535059.883069167] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698535059.884227157] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698535059.892684086] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698535059.896377055] [robot]: success
trials-all-1  | [nurse-4] [INFO] [1698535059.897738044] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698535059.901341014] [robot]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698535059.901983009] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698535059.917773877] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698535059.917871876] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698535059.917995875] [coordinator]: Receiving sync message: action_complete,a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698535059.924528820] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698535059.932477754] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698535059.936193722] [coordinator]: plans_actions_current 2 of 11
trials-all-1  | [robot-6] [INFO] [1698535059.938080707] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698535059.949739609] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698535059.954090573] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698535059.955010565] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698535059.959298529] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698535059.969202446] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698535059.974248404] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698535059.975396395] [robot]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698535059.978652367] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698535059.982468336] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698535059.982912332] [robot]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698535059.985762308] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698535059.986996298] [robot]: wating for nurse1 to authenticate to robot1
trials-all-1  | [arm-1] [INFO] [1698535059.994690233] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698535060.001824174] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698535060.006333136] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698535060.010762099] [robot]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698535060.014296069] [robot]: Authenticate nurse
trials-all-1  | [robot-6] [INFO] [1698535060.024672982] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698535060.026876964] [nurse]: success
trials-all-1  | [robot-6] [INFO] [1698535060.029018946] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698535060.032799914] [nurse]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698535060.038162869] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698535060.043239827] [arm]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698535060.044984812] [nurse]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698535060.050811763] [robot]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698535060.055040728] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698535060.060425682] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698535060.060906678] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698535060.073256575] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698535060.077452540] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698535060.079238525] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698535060.079833520] [coordinator]: Receiving sync message: action_complete,a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698535060.089940435] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698535060.094164400] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698535060.093598404] [nurse]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698535060.096752378] [coordinator]: action_complete
trials-all-1  | [nurse-4] [INFO] [1698535060.098265365] [nurse]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698535060.102835327] [coordinator]: plans_actions_current 3 of 11
trials-all-1  | [arm-1] [INFO] [1698535060.103459322] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698535060.107687286] [arm]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698535060.116237215] [nurse]: Action: a_deposit
trials-all-1  | [arm-1] [INFO] [1698535060.117189207] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698535060.122054166] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698535060.122399163] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698535060.126960125] [robot]: Action: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698535060.131332088] [robot]: Doing a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698535060.135540053] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698535060.140999007] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698535060.149299938] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698535060.152110914] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698535060.161102839] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698535060.165142805] [coordinator]: Receiving sync message: action_complete,a_open_drawer
trials-all-1  | [nurse-4] [INFO] [1698535060.165142805] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698535060.165545801] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698535060.172709741] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698535060.174727724] [arm]: not ready
trials-all-1  | [nurse-4] [INFO] [1698535060.177015705] [nurse]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698535060.179033688] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698535060.183662649] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698535060.190342593] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698535060.193883564] [nurse]: Action: a_deposit
trials-all-1  | [coordinator-2] [INFO] [1698535060.194308560] [coordinator]: plans_actions_current 4 of 11
trials-all-1  | [robot-6] [INFO] [1698535060.197140536] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698535060.201348501] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698535060.205702465] [nurse]: Doing a_deposit
trials-all-1  | [arm-1] [INFO] [1698535060.209424434] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698535060.213400400] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698535060.223662314] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [arm-1] [INFO] [1698535060.229051269] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698535060.234001228] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698535060.234912220] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698535060.242037160] [robot]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698535060.246531122] [robot]: Doing a_deposit
trials-all-1  | [nurse-4] [INFO] [1698535060.250049093] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698535060.252099076] [robot]: wating for nurse1 to deposit in robot1
