 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [robot-6] [INFO] [1698528415.249736211] [robot]: a_approach_arm
trials-all-1  | [environment-3] [INFO] [1698528415.251455245] [environment]: Receiving message: a_navto,robot1,Room1
trials-all-1  | [robot-6] [INFO] [1698528415.253865294] [robot]: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698528415.258956397] [robot]: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698528415.263114480] [robot]: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698528415.271242644] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [environment-3] [INFO] [1698528415.267546570] [environment]: Action: a_navto
trials-all-1  | [environment-3] [INFO] [1698528415.272396668] [environment]: Responding
trials-all-1  | [arm-1] [INFO] [1698528415.268139582] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698528415.278901799] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698528415.289001003] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698528415.293523094] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698528415.303559296] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698528415.308389394] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698528415.313095488] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698528415.318130590] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698528415.327276775] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698528415.331136852] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698528415.326870766] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698528415.330844846] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698528415.338323997] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698528415.342571083] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698528415.338812007] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698528415.343004092] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698528415.343654105] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [coordinator-2] [INFO] [1698528415.350858250] [coordinator]: action_complete
trials-all-1  | [nurse-4] [INFO] [1698528415.351181257] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698528415.356225358] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698528415.363316501] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698528415.369607628] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698528415.370592648] [coordinator]: plans_actions_current 1 of 11
trials-all-1  | [robot-6] [INFO] [1698528415.374905735] [robot]: not ready
