 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [robot-6] [INFO] [1698535898.463488270] [robot]: a_open_drawer
trials-all-1  | [environment-3] [INFO] [1698535898.468359326] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698535898.469569340] [robot]: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698535898.477309428] [arm]: success
trials-all-1  | [robot-6] [INFO] [1698535898.477900435] [robot]: a_close_drawer
trials-all-1  | [arm-1] [INFO] [1698535898.483567499] [arm]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698535898.488086550] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698535898.494502623] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698535898.501188700] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698535898.509942799] [robot]: success
trials-all-1  | [nurse-4] [INFO] [1698535898.511054812] [nurse]: not ready
trials-all-1  | [arm-1] [INFO] [1698535898.516222871] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698535898.516712876] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698535898.526074983] [robot]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698535898.532467056] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698535898.532994062] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698535898.538800128] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698535898.548248235] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [nurse-4] [INFO] [1698535898.548539239] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698535898.549757252] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698535898.553964300] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698535898.556539330] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698535898.558245349] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698535898.562371396] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698535898.563526409] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698535898.565017426] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698535898.576948562] [coordinator]: plans_actions_current 1 of 11
trials-all-1  | [robot-6] [INFO] [1698535898.577795572] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698535898.579158587] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698535898.582356623] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698535898.593036745] [arm]: not ready
trials-all-1  | [nurse-4] [INFO] [1698535898.593629752] [nurse]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698535898.597150792] [arm]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698535898.600724832] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698535898.604577876] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698535898.609051927] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698535898.611293953] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698535898.614125985] [robot]: Action: a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698535898.618133031] [robot]: Doing a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698535898.626336124] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698535898.633349204] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698535898.636385238] [environment]: Receiving message: a_approach_nurse,robot1
trials-all-1  | [robot-6] [INFO] [1698535898.643197316] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698535898.646672355] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698535898.647330363] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698535898.659450501] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698535898.663005541] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698535898.667042587] [arm]: Action: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698535898.667674595] [environment]: Action: a_approach_nurse
trials-all-1  | [nurse-4] [INFO] [1698535898.673332659] [nurse]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698535898.673671663] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698535898.680216737] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698535898.684140782] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698535898.684703788] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698535898.689518843] [environment]: Responding
trials-all-1  | [arm-1] [INFO] [1698535898.694050895] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698535898.705599026] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698535898.710080077] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698535898.712704107] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698535898.716429149] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698535898.720642197] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698535898.730055305] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698535898.734363354] [robot]: not ready
