 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [arm-1] [INFO] [1698532352.175948306] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698532352.172777255] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698532352.177029323] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698532352.185659459] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698532352.189709523] [nurse]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698532352.186335470] [environment]: Action: a_approach_nurse
trials-all-1  | [environment-3] [INFO] [1698532352.189957527] [environment]: Responding
trials-all-1  | [arm-1] [INFO] [1698532352.187664491] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698532352.193534584] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698532352.194382597] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698532352.200031687] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698532352.206657791] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698532352.213624902] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698532352.225666092] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698532352.239088304] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698532352.248754457] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698532352.252370515] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698532352.250036478] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698532352.253928539] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698532352.261791664] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698532352.267516754] [robot]: success
trials-all-1  | [nurse-4] [INFO] [1698532352.270489801] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698532352.274634867] [robot]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698532352.275537881] [nurse]: Action: a_authenticate_nurse
