 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [arm-1] [INFO] [1698527263.137759974] [arm]: Action: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698527263.140063192] [robot]: a_navto
trials-all-1  | [environment-3] [INFO] [1698527263.140041190] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698527263.158715957] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698527263.165145566] [robot]: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698527263.165784626] [arm]: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698527263.168622895] [robot]: Doing a_navto
trials-all-1  | [robot-6] [INFO] [1698527263.176347626] [robot]: a_open_drawer
trials-all-1  | [arm-1] [INFO] [1698527263.179635938] [arm]: Doing a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698527263.180427013] [robot]: a_deposit
trials-all-1  | [robot-6] [INFO] [1698527263.184455394] [robot]: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698527263.189115835] [robot]: a_navto
trials-all-1  | [robot-6] [INFO] [1698527263.193601260] [robot]: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698527263.197997676] [robot]: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698527263.202290082] [robot]: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698527263.206708501] [robot]: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698527263.214820268] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698527263.219373699] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698527263.216958471] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698527263.223950133] [environment]: Action: monitor
trials-all-1  | [nurse-4] [INFO] [1698527263.233462033] [nurse]: not ready
trials-all-1  | [environment-3] [INFO] [1698527263.237781442] [environment]: Receiving message: a_navto,robot1,Room1
trials-all-1  | [nurse-4] [INFO] [1698527263.238542514] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698527263.254488024] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698527263.258747427] [nurse]: Doing a_authenticate_nurse
