 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [arm-1] [INFO] [1698536159.961659864] [arm]: not ready
trials-all-1  | [nurse-4] [INFO] [1698536159.962006868] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698536159.974024016] [robot]: success
trials-all-1  | [arm-1] [INFO] [1698536159.972388996] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698536159.984209141] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698536159.987882186] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698536159.984447144] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698536159.988335191] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698536159.997614305] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698536160.002683368] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698536160.004738393] [robot]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698536160.017838553] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698536160.018286559] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698536160.020793589] [coordinator]: Receiving sync message: action_complete,a_approach_nurse
trials-all-1  | [nurse-4] [INFO] [1698536160.026940665] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698536160.028007678] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698536160.040940836] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698536160.044971885] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698536160.045571892] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [coordinator-2] [INFO] [1698536160.048632930] [coordinator]: action_complete
trials-all-1  | [robot-6] [INFO] [1698536160.051555966] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698536160.053220986] [coordinator]: plans_actions_current 2 of 11
trials-all-1  | [nurse-4] [INFO] [1698536160.061130083] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698536160.066327146] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698536160.068782176] [robot]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698536160.069264182] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698536160.073156230] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698536160.074196243] [robot]: Doing a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698536160.074746249] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698536160.085000375] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698536160.089912435] [robot]: wating for nurse1 to authenticate to robot1
trials-all-1  | [nurse-4] [INFO] [1698536160.090533442] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698536160.097121523] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698536160.105902630] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698536160.113974729] [robot]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698536160.115207744] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698536160.121223818] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698536160.125344868] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698536160.125400869] [robot]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698536160.131394942] [robot]: wating for nurse1 to authenticate to robot1
trials-all-1  | [robot-6] [INFO] [1698536160.135490992] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698536160.142021072] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698536160.147812143] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698536160.151361186] [robot]: Authenticate nurse
trials-all-1  | [robot-6] [INFO] [1698536160.161786314] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698536160.163415334] [nurse]: success
trials-all-1  | [robot-6] [INFO] [1698536160.168438395] [robot]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698536160.171236429] [nurse]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698536160.174234466] [robot]: Doing a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698536160.184977597] [nurse]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698536160.185746607] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698536160.191522677] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698536160.193807705] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698536160.198754766] [arm]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698536160.203878829] [nurse]: Doing a_deposit
trials-all-1  | [coordinator-2] [INFO] [1698536160.205645850] [coordinator]: Receiving sync message: action_complete,a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698536160.209869902] [coordinator]: action_complete
trials-all-1  | [robot-6] [INFO] [1698536160.214050953] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [arm-1] [INFO] [1698536160.214237955] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698536160.221651046] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698536160.230592155] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698536160.233615192] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698536160.241015283] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698536160.244894330] [nurse]: Action: a_deposit
trials-all-1  | [nurse-4] [INFO] [1698536160.248454374] [nurse]: Doing a_deposit
trials-all-1  | [coordinator-2] [INFO] [1698536160.234577204] [coordinator]: plans_actions_current 3 of 11
trials-all-1  | [robot-6] [INFO] [1698536160.243028307] [robot]: Action: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698536160.246848354] [robot]: Doing a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698536160.251501411] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698536160.255338458] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698536160.269703634] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698536160.272859672] [robot]: success
trials-all-1  | [arm-1] [INFO] [1698536160.274585693] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698536160.291565901] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698536160.293233921] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698536160.296688964] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698536160.297192970] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698536160.302944040] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698536160.312510157] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698536160.316647208] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698536160.312891162] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698536160.316674208] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698536160.322859284] [nurse]: Action: a_deposit
trials-all-1  | [nurse-4] [INFO] [1698536160.327045335] [nurse]: Doing a_deposit
trials-all-1  | [coordinator-2] [INFO] [1698536160.313827173] [coordinator]: Receiving sync message: action_complete,a_open_drawer
trials-all-1  | [coordinator-2] [INFO] [1698536160.324391302] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698536160.324437303] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698536160.328989359] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698536160.333336412] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698536160.338239472] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698536160.338861479] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698536160.354460670] [coordinator]: plans_actions_current 4 of 11
trials-all-1  | [robot-6] [INFO] [1698536160.378538965] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698536160.386146058] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698536160.390006105] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698536160.390587112] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698536160.394916165] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698536160.398678211] [nurse]: Action: a_deposit
trials-all-1  | [nurse-4] [INFO] [1698536160.405418293] [nurse]: Doing a_deposit
trials-all-1  | [arm-1] [INFO] [1698536160.397984202] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698536160.402835262] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698536160.402132253] [robot]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698536160.406317304] [robot]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698536160.410200352] [robot]: wating for nurse1 to deposit in robot1
trials-all-1  | [robot-6] [INFO] [1698536160.413713395] [robot]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698536160.410437355] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698536160.414400403] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698536160.417674443] [robot]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698536160.424276524] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698536160.428270573] [robot]: Deposit
