 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [robot-6] [INFO] [1698532490.466702805] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698532490.470480841] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698532490.469825835] [environment]: Receiving message: a_approach_nurse,robot1
trials-all-1  | [environment-3] [INFO] [1698532490.475451887] [environment]: Action: a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698532490.482291952] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698532490.485922986] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698532490.482878957] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698532490.486802994] [arm]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698532490.499890117] [environment]: Responding
trials-all-1  | [arm-1] [INFO] [1698532490.503113147] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698532490.503903155] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698532490.509910211] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698532490.520575312] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698532490.524481348] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698532490.510383216] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698532490.514966259] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698532490.523451339] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698532490.527664378] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698532490.511563227] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698532490.532025419] [coordinator]: Receiving sync message: action_complete,a_approach_nurse
trials-all-1  | [coordinator-2] [INFO] [1698532490.537720473] [coordinator]: action_complete
trials-all-1  | [robot-6] [INFO] [1698532490.551037598] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698532490.552648613] [arm]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698532490.557005654] [coordinator]: plans_actions_current 2 of 11
trials-all-1  | [robot-6] [INFO] [1698532490.561331695] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698532490.561705698] [arm]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698532490.578748858] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698532490.582673895] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698532490.579113862] [robot]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698532490.583290901] [robot]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698532490.585741924] [arm]: Action: a_pick_up_sample
