 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [nurse-4] [INFO] [1698541294.269757179] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698541294.274483183] [nurse]: Action result: False
trials-all-1  | [planner-5] [INFO] [1698541294.274600183] [planner]: Receiving sync message. need_plan,robot1,nurse1,arm1
trials-all-1  | [nurse-4] [INFO] [1698541294.278541187] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [planner-5] [INFO] [1698541294.280455189] [planner]: Creating plan for: robot1 robot1 nurse1
trials-all-1  | [nurse-4] [INFO] [1698541294.282699191] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698541294.287792196] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [environment-3] [INFO] [1698541294.292204201] [environment]: Action: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698541294.297013205] [robot]: success
trials-all-1  | [planner-5] [INFO] [1698541294.301512210] [planner]: a_navto,robot1,Room1
trials-all-1  | [environment-3] [INFO] [1698541294.315947224] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698541294.319765228] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698541294.326373234] [arm]: success
trials-all-1  | [robot-6] [INFO] [1698541294.330856239] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698541294.330979239] [arm]: Action result: True
trials-all-1  | [coordinator-2] [INFO] [1698541294.335171243] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [planner-5] [INFO] [1698541294.339237247] [planner]: a_approach_nurse,robot1
trials-all-1  | [robot-6] [INFO] [1698541294.339630247] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698541294.345580253] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698541294.349725257] [coordinator]: plans_actions_current 1 of 11
trials-all-1  | [nurse-4] [INFO] [1698541294.350319258] [nurse]: not ready
trials-all-1  | [arm-1] [INFO] [1698541294.350455258] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698541294.354367262] [arm]: Doing a_pick_up_sample
trials-all-1  | [planner-5] [INFO] [1698541294.359186266] [planner]: a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698541294.362856270] [robot]: Action: a_approach_nurse
trials-all-1  | [nurse-4] [INFO] [1698541294.368158275] [nurse]: Action result: False
trials-all-1  | [planner-5] [INFO] [1698541294.371912279] [planner]: a_open_drawer,robot1
trials-all-1  | [robot-6] [INFO] [1698541294.375599282] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [planner-5] [INFO] [1698541294.378712285] [planner]: a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698541294.382554289] [robot]: Doing a_approach_nurse
trials-all-1  | [planner-5] [INFO] [1698541294.386320293] [planner]: a_close_drawer,robot1
trials-all-1  | [nurse-4] [INFO] [1698541294.387117294] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698541294.389544296] [robot]: not ready
trials-all-1  | [planner-5] [INFO] [1698541294.394539301] [planner]: a_open_door,nurse1,Room3
trials-all-1  | [arm-1] [INFO] [1698541294.398427305] [arm]: not ready
trials-all-1  | [nurse-4] [INFO] [1698541294.402107308] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698541294.402513309] [arm]: Action result: False
trials-all-1  | [planner-5] [INFO] [1698541294.405104311] [planner]: a_navto,robot1,Room3
trials-all-1  | [environment-3] [INFO] [1698541294.409347315] [environment]: Receiving message: a_approach_nurse,robot1
trials-all-1  | [robot-6] [INFO] [1698541294.410964317] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698541294.416998323] [robot]: not ready
trials-all-1  | [planner-5] [INFO] [1698541294.413500319] [planner]: a_approach_arm,robot1,arm1
trials-all-1  | [environment-3] [INFO] [1698541294.413794320] [environment]: Action: a_approach_nurse
trials-all-1  | [environment-3] [INFO] [1698541294.417875324] [environment]: Responding
trials-all-1  | [planner-5] [INFO] [1698541294.422924329] [planner]: a_open_drawer,robot1
trials-all-1  | [arm-1] [INFO] [1698541294.425968332] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698541294.429276335] [nurse]: not ready
trials-all-1  | [arm-1] [INFO] [1698541294.430187336] [arm]: Doing a_pick_up_sample
trials-all-1  | [planner-5] [INFO] [1698541294.432419338] [planner]: a_pick_up_sample,arm1,robot1
trials-all-1  | [planner-5] [INFO] [1698541294.436321342] [planner]: a_close_drawer,robot1
trials-all-1  | [robot-6] [INFO] [1698541294.444603350] [robot]: success
trials-all-1  | [planner-5] [INFO] [1698541294.445301351] [planner]: Sending response
trials-all-1  | [robot-6] [INFO] [1698541294.450342355] [robot]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698541294.453802359] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698541294.465096370] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698541294.471817376] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698541294.472218377] [coordinator]: Plan received for: robot1, nurse1, arm1 
trials-all-1  | [robot-6] [INFO] [1698541294.475997381] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698541294.480616385] [coordinator]: a_navto,robot1,Room1/a_approach_nurse,robot1/a_authenticate_nurse,robot1,nurse1/a_open_drawer,robot1/a_deposit,nurse1,robot1/a_close_drawer,robot1/a_open_door,nurse1,Room3/a_navto,robot1,Room3/a_approach_arm,robot1,arm1/a_open_drawer,robot1/a_pick_up_sample,arm1,robot1/a_close_drawer,robot1
trials-all-1  | [arm-1] [INFO] [1698541294.486558391] [arm]: not ready
trials-all-1  | [nurse-4] [INFO] [1698541294.487230392] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698541294.489196393] [coordinator]: a_navto,robot1,Room1
trials-all-1  | [arm-1] [INFO] [1698541294.491519396] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698541294.494045398] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698541294.498325402] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698541294.495408400] [arm]: Action: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698541294.495588400] [coordinator]: a_approach_nurse,robot1
trials-all-1  | [arm-1] [INFO] [1698541294.500897405] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698541294.506321410] [coordinator]: Receiving sync message: action_complete,a_approach_nurse
trials-all-1  | [coordinator-2] [INFO] [1698541294.515613419] [coordinator]: action_complete
trials-all-1  | [nurse-4] [INFO] [1698541294.517941422] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698541294.521952426] [nurse]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698541294.525496429] [coordinator]: a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698541294.529124433] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698541294.530569434] [coordinator]: a_open_drawer,robot1
trials-all-1  | [robot-6] [INFO] [1698541294.533423437] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698541294.536940440] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698541294.538603442] [coordinator]: plans_actions_current 2 of 11
trials-all-1  | [robot-6] [INFO] [1698541294.547307450] [robot]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698541294.548086451] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698541294.552109455] [robot]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698541294.555306458] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698541294.557887461] [robot]: wating for nurse1 to authenticate to robot1
trials-all-1  | [coordinator-2] [INFO] [1698541294.558859462] [coordinator]: a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698541294.562099465] [robot]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698541294.563277466] [coordinator]: a_close_drawer,robot1
trials-all-1  | [nurse-4] [INFO] [1698541294.565786468] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698541294.571644474] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698541294.572394475] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698541294.576029478] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698541294.576464479] [robot]: Authenticate nurse
trials-all-1  | [coordinator-2] [INFO] [1698541294.579012481] [coordinator]: a_open_door,nurse1,Room3
trials-all-1  | [robot-6] [INFO] [1698541294.587083489] [robot]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698541294.594307496] [nurse]: success
trials-all-1  | [nurse-4] [INFO] [1698541294.606138508] [nurse]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698541294.610300512] [nurse]: Action: a_deposit
trials-all-1  | [coordinator-2] [INFO] [1698541294.611921514] [coordinator]: a_navto,robot1,Room3
trials-all-1  | [coordinator-2] [INFO] [1698541294.616848518] [coordinator]: a_approach_arm,robot1,arm1
trials-all-1  | [robot-6] [INFO] [1698541294.601866504] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698541294.622395524] [robot]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698541294.627090528] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698541294.635132536] [robot]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698541294.638366540] [nurse]: Doing a_deposit
trials-all-1  | [arm-1] [INFO] [1698541294.638923540] [arm]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698541294.642938544] [coordinator]: a_open_drawer,robot1
trials-all-1  | [arm-1] [INFO] [1698541294.644309545] [arm]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698541294.647396548] [coordinator]: a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698541294.653936555] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [arm-1] [INFO] [1698541294.648726550] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698541294.658375559] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698541294.665705566] [coordinator]: Receiving sync message: action_complete,a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698541294.670710571] [arm]: Doing a_pick_up_sample
