 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [robot-6] [INFO] [1698539489.337685171] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698539489.361286961] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698539489.364965928] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698539489.366164917] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698539489.370115882] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698539489.376404826] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698539489.381065785] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698539489.390263703] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698539489.393913670] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698539489.390992696] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698539489.395474656] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698539489.403680583] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698539489.404156579] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698539489.408870537] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698539489.413856493] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [arm-1] [INFO] [1698539489.415235480] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698539489.417729458] [nurse]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698539489.418043455] [coordinator]: action_complete
trials-all-1  | [nurse-4] [INFO] [1698539489.422853412] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698539489.427275373] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698539489.438207276] [coordinator]: plans_actions_current 1 of 11
trials-all-1  | [robot-6] [INFO] [1698539489.443240231] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698539489.449847172] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698539489.452531148] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698539489.465749031] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698539489.469776995] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698539489.473739959] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698539489.476988930] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698539489.471702978] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698539489.475842941] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698539489.491962797] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698539489.502028707] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698539489.505421677] [robot]: Action: a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698539489.510589631] [robot]: Doing a_approach_nurse
trials-all-1  | [nurse-4] [INFO] [1698539489.510699630] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698539489.514608595] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698539489.516597578] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698539489.524971503] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698539489.541558355] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698539489.545759318] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698539489.545619319] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698539489.553168252] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698539489.562549169] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698539489.569787104] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698539489.573501071] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698539489.568855112] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698539489.572657079] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698539489.579197020] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698539489.583116985] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698539489.594157887] [arm]: not ready
trials-all-1  | [nurse-4] [INFO] [1698539489.604110798] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698539489.607131772] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698539489.613697713] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698539489.617603678] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698539489.613827712] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698539489.617775677] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698539489.627036594] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698539489.636843507] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698539489.641621464] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698539489.645519430] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698539489.641519465] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698539489.645170433] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698539489.658160317] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698539489.663567269] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698539489.675158166] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698539489.675347164] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698539489.680545118] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698539489.681339111] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698539489.694551993] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698539489.699010953] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698539489.701906928] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698539489.720771760] [nurse]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698539489.723960731] [environment]: Receiving message: a_approach_nurse,robot1
trials-all-1  | [arm-1] [INFO] [1698539489.728904687] [arm]: not ready
trials-all-1  | [nurse-4] [INFO] [1698539489.735928625] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698539489.741070579] [arm]: Action result: False
