 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [robot-6] [INFO] [1698528276.035718987] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698528276.040634108] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698528276.050082340] [robot]: Action: a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698528276.054618451] [robot]: Doing a_approach_nurse
trials-all-1  | [arm-1] [INFO] [1698528276.039667084] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698528276.043909188] [arm]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698528276.051615378] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698528276.056722503] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698528276.072024879] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698528276.076236982] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698528276.086388231] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698528276.089549309] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698528276.097837512] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698528276.102296622] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698528276.114021910] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698528276.116551972] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698528276.118558021] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698528276.125679196] [environment]: Receiving message: a_approach_nurse,robot1
trials-all-1  | [nurse-4] [INFO] [1698528276.127774247] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698528276.132599366] [nurse]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698528276.121280088] [arm]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698528276.140531561] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698528276.144474657] [environment]: Action: a_approach_nurse
