 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [robot-6] [INFO] [1698529482.279551089] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698529482.285007181] [robot]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698529482.285490189] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698529482.292301305] [nurse]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698529482.292471308] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [coordinator-2] [INFO] [1698529482.296536377] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698529482.301231456] [coordinator]: plans_actions_current 1 of 11
trials-all-1  | [nurse-4] [INFO] [1698529482.300179439] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698529482.305718532] [arm]: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698529482.320407782] [robot]: Action: a_approach_nurse
trials-all-1  | [nurse-4] [INFO] [1698529482.324123845] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698529482.329243931] [robot]: Doing a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698529482.340454122] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [environment-3] [INFO] [1698529482.356567395] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [robot-6] [INFO] [1698529482.362725499] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698529482.363722516] [environment]: Action: a_approach_arm
trials-all-1  | [nurse-4] [INFO] [1698529482.379194779] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698529482.385514886] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698529482.390890977] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698529482.396540073] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698529482.404603209] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698529482.410487309] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698529482.421314493] [nurse]: not ready
trials-all-1  | [environment-3] [INFO] [1698529482.425280560] [environment]: Responding
trials-all-1  | [nurse-4] [INFO] [1698529482.425641566] [nurse]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698529482.436381748] [arm]: success
trials-all-1  | [arm-1] [INFO] [1698529482.441434834] [arm]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698529482.436692754] [nurse]: Action: a_authenticate_nurse
