 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [environment-3] [INFO] [1698537356.153529833] [environment]: Receiving message: a_approach_nurse,robot1
trials-all-1  | [arm-1] [INFO] [1698537356.156342922] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698537356.160724060] [arm]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698537356.162370112] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698537356.170831379] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [environment-3] [INFO] [1698537356.172684437] [environment]: Action: a_approach_nurse
trials-all-1  | [arm-1] [INFO] [1698537356.177381585] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698537356.181653720] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698537356.184827820] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698537356.191721037] [environment]: Responding
trials-all-1  | [nurse-4] [INFO] [1698537356.200474313] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698537356.204985455] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698537356.209324592] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698537356.216332813] [nurse]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698537356.222360002] [arm]: not ready
trials-all-1  | [nurse-4] [INFO] [1698537356.229153217] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698537356.233069340] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698537356.229228219] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698537356.241422603] [robot]: success
trials-all-1  | [arm-1] [INFO] [1698537356.249275851] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698537356.253472983] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698537356.249822868] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698537356.257025095] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698537356.265946376] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698537356.279773812] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698537356.279722810] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698537356.284631965] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698537356.289885130] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698537356.296208330] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698537356.301447495] [coordinator]: Receiving sync message: action_complete,a_approach_nurse
trials-all-1  | [coordinator-2] [INFO] [1698537356.313421872] [coordinator]: action_complete
trials-all-1  | [robot-6] [INFO] [1698537356.305124611] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698537356.316001953] [arm]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698537356.317938014] [coordinator]: plans_actions_current 2 of 11
