 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [environment-3] [INFO] [1698540539.578214187] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [robot-6] [INFO] [1698540539.582936221] [robot]: a_close_drawer
trials-all-1  | [environment-3] [INFO] [1698540539.583537225] [environment]: Action: a_approach_arm
trials-all-1  | [environment-3] [INFO] [1698540539.599413340] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698540539.601269354] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698540539.607721400] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698540539.609435413] [arm]: success
trials-all-1  | [robot-6] [INFO] [1698540539.616209462] [robot]: success
trials-all-1  | [arm-1] [INFO] [1698540539.618304477] [arm]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698540539.620874495] [robot]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698540539.624489522] [nurse]: not ready
trials-all-1  | [arm-1] [INFO] [1698540539.631311571] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698540539.632504580] [nurse]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698540539.637042613] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [nurse-4] [INFO] [1698540539.640731639] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698540539.641085642] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698540539.644511667] [coordinator]: plans_actions_current 1 of 11
trials-all-1  | [arm-1] [INFO] [1698540539.645657675] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698540539.646734683] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698540539.666432825] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698540539.670925858] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698540539.678396912] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698540539.682621942] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698540539.685581964] [robot]: Action: a_approach_nurse
trials-all-1  | [nurse-4] [INFO] [1698540539.685642964] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698540539.689820995] [robot]: Doing a_approach_nurse
trials-all-1  | [nurse-4] [INFO] [1698540539.690962003] [nurse]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698540539.693507021] [arm]: not ready
