 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [environment-3] [INFO] [1698541065.096078400] [environment]: Action: a_navto
trials-all-1  | [nurse-4] [INFO] [1698541065.098036378] [nurse]: not ready
trials-all-1  | [environment-3] [INFO] [1698541065.101815335] [environment]: Responding
trials-all-1  | [nurse-4] [INFO] [1698541065.102350329] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698541065.113593202] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698541065.122142105] [robot]: success
trials-all-1  | [nurse-4] [INFO] [1698541065.123463090] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698541065.124121083] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [robot-6] [INFO] [1698541065.138671918] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698541065.143324866] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698541065.148579806] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698541065.151442774] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [coordinator-2] [INFO] [1698541065.155777725] [coordinator]: action_complete
trials-all-1  | [nurse-4] [INFO] [1698541065.158112699] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698541065.162310651] [nurse]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698541065.164279629] [coordinator]: plans_actions_current 1 of 11
trials-all-1  | [nurse-4] [INFO] [1698541065.169977564] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698541065.177181483] [robot]: Action: a_approach_nurse
trials-all-1  | [environment-3] [INFO] [1698541065.180048450] [environment]: Action: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698541065.184368402] [robot]: Doing a_approach_nurse
trials-all-1  | [nurse-4] [INFO] [1698541065.191150325] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698541065.198875237] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698541065.204100178] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698541065.214042066] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698541065.217854023] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698541065.225706934] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698541065.232702855] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698541065.239418779] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698541065.243766730] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698541065.252447631] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698541065.259058557] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698541065.264265498] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698541065.269934434] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698541065.278047342] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698541065.282657290] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698541065.291134194] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698541065.296958128] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698541065.302166069] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698541065.306379021] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698541065.313261944] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698541065.318533884] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698541065.324878812] [environment]: Responding
trials-all-1  | [nurse-4] [INFO] [1698541065.331701735] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698541065.335382693] [nurse]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698541065.335425693] [arm]: success
trials-all-1  | [nurse-4] [INFO] [1698541065.339452647] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698541065.347468557] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698541065.351184515] [arm]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698541065.354734474] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [environment-3] [INFO] [1698541065.357910439] [environment]: Receiving message: a_approach_nurse,robot1
trials-all-1  | [robot-6] [INFO] [1698541065.358482432] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698541065.366356343] [environment]: Action: a_approach_nurse
trials-all-1  | [nurse-4] [INFO] [1698541065.368452319] [nurse]: not ready
trials-all-1  | [arm-1] [INFO] [1698541065.370091301] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698541065.372712271] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698541065.378450206] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698541065.379489194] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698541065.381281174] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698541065.386784112] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698541065.392233050] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698541065.399301970] [robot]: success
trials-all-1  | [nurse-4] [INFO] [1698541065.397096995] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698541065.401488946] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698541065.404404913] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698541065.411534832] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [coordinator-2] [INFO] [1698541065.413608808] [coordinator]: Receiving sync message: action_complete,a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698541065.416534775] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698541065.422331710] [arm]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698541065.427284654] [coordinator]: action_complete
trials-all-1  | [nurse-4] [INFO] [1698541065.428852636] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698541065.432808591] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698541065.439187519] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698541065.441251496] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698541065.444774456] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698541065.450860387] [coordinator]: plans_actions_current 2 of 11
trials-all-1  | [robot-6] [INFO] [1698541065.453025363] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698541065.457940307] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698541065.463732241] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698541065.471083158] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698541065.483610017] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698541065.487756970] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
