 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [arm-1] [INFO] [1698528961.403560726] [arm]: Doing a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698528961.401687654] [robot]: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698528961.413002090] [arm]: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698528961.419329334] [robot]: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698528961.426081594] [robot]: a_deposit
trials-all-1  | [robot-6] [INFO] [1698528961.430491765] [robot]: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698528961.434489919] [robot]: a_navto
trials-all-1  | [robot-6] [INFO] [1698528961.438389069] [robot]: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698528961.442418225] [robot]: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698528961.446653388] [robot]: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698528961.450993555] [robot]: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698528961.458201833] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698528961.462685006] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698528961.472490385] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698528961.476259530] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698528961.488509002] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698528961.493978213] [environment]: Receiving message: a_navto,robot1,Room1
trials-all-1  | [nurse-4] [INFO] [1698528961.495299264] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698528961.503006562] [environment]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698528961.503195569] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698528961.507989754] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698528961.509587816] [environment]: Responding
trials-all-1  | [nurse-4] [INFO] [1698528961.516928099] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698528961.524869405] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698528961.529933600] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698528961.540157995] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698528961.541314039] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698528961.554510548] [robot]: Action result: True
trials-all-1  | [environment-3] [INFO] [1698528961.562057839] [environment]: Receiving message: a_approach_arm,robot1,arm1
