 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [environment-3] [INFO] [1698528134.531904290] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698528134.535451676] [robot]: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698528134.540514654] [robot]: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698528134.554152983] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698528134.558159549] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698528134.566722895] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698528134.570877518] [robot]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698528134.577433080] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698528134.581661732] [nurse]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698528134.577433080] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [environment-3] [INFO] [1698528134.581350611] [environment]: Action: a_approach_arm
trials-all-1  | [environment-3] [INFO] [1698528134.585398192] [environment]: Responding
trials-all-1  | [coordinator-2] [INFO] [1698528134.594990940] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [arm-1] [INFO] [1698528134.596985720] [arm]: success
trials-all-1  | [coordinator-2] [INFO] [1698528134.598806431] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698528134.605009855] [arm]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698528134.608833349] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698528134.613407136] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698528134.614356507] [arm]: Action: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698528134.618037946] [coordinator]: plans_actions_current 1 of 11
trials-all-1  | [arm-1] [INFO] [1698528134.620680978] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698528134.630871960] [robot]: Action: a_approach_nurse
