 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [arm-1] [INFO] [1698538472.454828699] [arm]: Doing a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698538472.461573639] [arm]: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698538472.467502586] [robot]: a_open_drawer
trials-all-1  | [environment-3] [INFO] [1698538472.468915573] [environment]: Receiving message: a_navto,robot1,Room1
trials-all-1  | [robot-6] [INFO] [1698538472.471065554] [robot]: a_deposit
trials-all-1  | [environment-3] [INFO] [1698538472.474167526] [environment]: Action: a_navto
trials-all-1  | [nurse-4] [INFO] [1698538472.477308498] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698538472.481199463] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698538472.486337417] [robot]: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698538472.490300382] [robot]: a_navto
trials-all-1  | [robot-6] [INFO] [1698538472.493981349] [robot]: a_approach_arm
trials-all-1  | [environment-3] [INFO] [1698538472.497503317] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698538472.497770315] [robot]: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698538472.501329283] [robot]: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698538472.508515219] [robot]: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698538472.516953143] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [environment-3] [INFO] [1698538472.519315122] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [robot-6] [INFO] [1698538472.520751109] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698538472.525316068] [environment]: Action: a_approach_arm
trials-all-1  | [nurse-4] [INFO] [1698538472.532016008] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698538472.537168962] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698538472.541519923] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698538472.545641886] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698538472.548613860] [environment]: Responding
trials-all-1  | [arm-1] [INFO] [1698538472.558828768] [arm]: success
trials-all-1  | [arm-1] [INFO] [1698538472.562924731] [arm]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698538472.563348728] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698538472.565714706] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698538472.572798643] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698538472.573102640] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698538472.584263540] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698538472.587347513] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698538472.589658492] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [coordinator-2] [INFO] [1698538472.593837455] [coordinator]: action_complete
trials-all-1  | [nurse-4] [INFO] [1698538472.594401450] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698538472.598489413] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698538472.604785357] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698538472.609050318] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698538472.613436279] [coordinator]: plans_actions_current 1 of 11
trials-all-1  | [nurse-4] [INFO] [1698538472.617172246] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698538472.620508216] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698538472.628708142] [arm]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698538472.633366101] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698538472.643533010] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698538472.643796007] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698538472.649777954] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698538472.661234851] [nurse]: not ready
trials-all-1  | [arm-1] [INFO] [1698538472.662159843] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698538472.672550750] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698538472.682403662] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698538472.685371635] [robot]: Action: a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698538472.688275609] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698538472.688589606] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698538472.696090539] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698538472.706880443] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698538472.710830407] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698538472.707144440] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698538472.711326403] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698538472.724399286] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698538472.726339268] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698538472.729452240] [robot]: Doing a_approach_nurse
trials-all-1  | [arm-1] [INFO] [1698538472.734937191] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698538472.735296188] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698538472.741438133] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698538472.745332098] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698538472.742026128] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698538472.747018083] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698538472.742900120] [environment]: Receiving message: a_approach_nurse,robot1
trials-all-1  | [environment-3] [INFO] [1698538472.747173082] [environment]: Action: a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698538472.761128957] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698538472.765065922] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698538472.778997797] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698538472.782957761] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698538472.761919950] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698538472.765759915] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698538472.783406757] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698538472.786881726] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698538472.767236902] [environment]: Responding
trials-all-1  | [nurse-4] [INFO] [1698538472.775353829] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698538472.779552792] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698538472.783654755] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698538472.787437721] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698538472.801442596] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698538472.809163527] [coordinator]: Receiving sync message: action_complete,a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698538472.811252508] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698538472.824857386] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698538472.833922305] [arm]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698538472.834719298] [coordinator]: action_complete
trials-all-1  | [robot-6] [INFO] [1698538472.838128267] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [coordinator-2] [INFO] [1698538472.841610236] [coordinator]: plans_actions_current 2 of 11
trials-all-1  | [arm-1] [INFO] [1698538472.845784199] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698538472.852196141] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698538472.857213097] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698538472.863730038] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698538472.876821921] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698538472.881014883] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698538472.879778894] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698538472.883267863] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698538472.895844751] [arm]: not ready
trials-all-1  | [nurse-4] [INFO] [1698538472.897939732] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698538472.901844697] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698538472.902426692] [robot]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698538472.912630600] [robot]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698538472.912630600] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698538472.923454503] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698538472.927717465] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698538472.927909464] [robot]: wating for nurse1 to authenticate to robot1
trials-all-1  | [robot-6] [INFO] [1698538472.935920392] [robot]: Authenticate nurse
trials-all-1  | [nurse-4] [INFO] [1698538472.947210291] [nurse]: success
trials-all-1  | [nurse-4] [INFO] [1698538472.951125256] [nurse]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698538472.953377236] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698538472.954363227] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698538472.955096220] [nurse]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698538472.963199148] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698538472.974018051] [arm]: not ready
trials-all-1  | [nurse-4] [INFO] [1698538472.976605028] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698538472.981554983] [robot]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698538472.986194942] [robot]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698538472.988875918] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698538472.998956827] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698538473.002115799] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698538473.009263735] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698538473.013210700] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698538473.014731686] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698538473.023099611] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698538473.026950577] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698538473.027377573] [nurse]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698538473.028746561] [coordinator]: Receiving sync message: action_complete,a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698538473.031406537] [nurse]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698538473.033366519] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698538473.035625499] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698538473.043167432] [arm]: not ready
trials-all-1  | [nurse-4] [INFO] [1698538473.047297395] [nurse]: Doing a_deposit
trials-all-1  | [arm-1] [INFO] [1698538473.052138351] [arm]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698538473.056365314] [coordinator]: plans_actions_current 3 of 11
trials-all-1  | [arm-1] [INFO] [1698538473.056703311] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698538473.061497268] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [arm-1] [INFO] [1698538473.066512223] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698538473.074316153] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698538473.083492071] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698538473.087305037] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698538473.087571034] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698538473.090771006] [nurse]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698538473.093030985] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698538473.103098895] [nurse]: Doing a_deposit
trials-all-1  | [arm-1] [INFO] [1698538473.105654872] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698538473.114291795] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698538473.119956744] [robot]: Action: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698538473.128607667] [robot]: Doing a_open_drawer
trials-all-1  | [arm-1] [INFO] [1698538473.139373571] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698538473.143376535] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698538473.139859566] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698538473.143341535] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698538473.161942369] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698538473.165935333] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698538473.163084358] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698538473.166815325] [robot]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698538473.171606282] [nurse]: Action: a_deposit
trials-all-1  | [nurse-4] [INFO] [1698538473.175378248] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698538473.173799262] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698538473.178673219] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698538473.182155188] [coordinator]: Receiving sync message: action_complete,a_open_drawer
trials-all-1  | [arm-1] [INFO] [1698538473.189448122] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698538473.197677049] [arm]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698538473.203644995] [coordinator]: action_complete
trials-all-1  | [robot-6] [INFO] [1698538473.208434952] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698538473.209061947] [coordinator]: plans_actions_current 4 of 11
trials-all-1  | [arm-1] [INFO] [1698538473.209784940] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698538473.218507862] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698538473.220236847] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698538473.236460702] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698538473.242366649] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698538473.246770609] [nurse]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698538473.243200641] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698538473.247090606] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698538473.259354497] [arm]: not ready
trials-all-1  | [nurse-4] [INFO] [1698538473.260981482] [nurse]: Doing a_deposit
trials-all-1  | [arm-1] [INFO] [1698538473.269525406] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698538473.276423344] [robot]: Action: a_deposit
trials-all-1  | [arm-1] [INFO] [1698538473.280311309] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698538473.281282300] [robot]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698538473.291797206] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [arm-1] [INFO] [1698538473.292075204] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698538473.294431183] [robot]: wating for nurse1 to deposit in robot1
trials-all-1  | [robot-6] [INFO] [1698538473.299290139] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698538473.307422066] [robot]: Deposit
trials-all-1  | [robot-6] [INFO] [1698538473.317520976] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698538473.319143961] [nurse]: success
trials-all-1  | [robot-6] [INFO] [1698538473.322943927] [robot]: Action: a_deposit
trials-all-1  | [nurse-4] [INFO] [1698538473.324764911] [nurse]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698538473.330961856] [robot]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698538473.334820821] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698538473.337303799] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698538473.349470690] [arm]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698538473.357425619] [coordinator]: Receiving sync message: action_complete,a_deposit
trials-all-1  | [coordinator-2] [INFO] [1698538473.361599581] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698538473.365345548] [coordinator]: plans_actions_current 5 of 11
trials-all-1  | [arm-1] [INFO] [1698538473.357401619] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698538473.361414583] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698538473.364811553] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698538473.386024363] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698538473.393960292] [robot]: Action: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698538473.397770258] [robot]: Doing a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698538473.410270146] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698538473.420270056] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698538473.429985969] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698538473.430205967] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698538473.434012933] [arm]: Action result: False
