 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [environment-3] [INFO] [1698530055.174563081] [environment]: Receiving message: a_approach_nurse,robot1
trials-all-1  | [robot-6] [INFO] [1698530055.175395085] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698530055.179788108] [environment]: Action: a_approach_nurse
trials-all-1  | [environment-3] [INFO] [1698530055.184157131] [environment]: Responding
trials-all-1  | [nurse-4] [INFO] [1698530055.186677144] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698530055.201197221] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698530055.205736245] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698530055.210074267] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698530055.215689297] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698530055.219824319] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698530055.230221373] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698530055.234506396] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698530055.239128420] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698530055.243542443] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698530055.251033483] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698530055.255544506] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698530055.262514543] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698530055.267143567] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698530055.273305600] [coordinator]: Receiving sync message: action_complete,a_approach_nurse
trials-all-1  | [nurse-4] [INFO] [1698530055.276644617] [nurse]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698530055.279069630] [coordinator]: action_complete
trials-all-1  | [nurse-4] [INFO] [1698530055.281370642] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698530055.289495685] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698530055.295996719] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698530055.299574738] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698530055.301249746] [coordinator]: plans_actions_current 2 of 11
trials-all-1  | [robot-6] [INFO] [1698530055.302324752] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698530055.311853802] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698530055.314453816] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698530055.316467826] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698530055.318948839] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698530055.327605885] [nurse]: not ready
trials-all-1  | [arm-1] [INFO] [1698530055.329321894] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698530055.331392905] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698530055.335842928] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698530055.342855965] [robot]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698530055.343986971] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698530055.347910991] [robot]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698530055.352498016] [robot]: wating for nurse1 to authenticate to robot1
trials-all-1  | [nurse-4] [INFO] [1698530055.359962055] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698530055.367785096] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698530055.372429120] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698530055.379390157] [robot]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698530055.383153177] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698530055.383557179] [robot]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698530055.387993202] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698530055.394578237] [robot]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698530055.398283256] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698530055.400238266] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698530055.406200298] [robot]: Authenticate nurse
trials-all-1  | [arm-1] [INFO] [1698530055.416861354] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698530055.417511357] [nurse]: success
trials-all-1  | [robot-6] [INFO] [1698530055.423283387] [robot]: wating for nurse1 to authenticate to robot1
trials-all-1  | [nurse-4] [INFO] [1698530055.430284424] [nurse]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698530055.439940475] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698530055.442257487] [robot]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698530055.446963512] [nurse]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698530055.450676531] [robot]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698530055.461118586] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698530055.462678594] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698530055.471104639] [robot]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698530055.472774647] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698530055.477751674] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698530055.479719684] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698530055.486395719] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698530055.487983727] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [arm-1] [INFO] [1698530055.490276739] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698530055.493066754] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698530055.498140781] [coordinator]: Receiving sync message: action_complete,a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698530055.503344808] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698530055.510506846] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698530055.520733899] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
