 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [robot-6] [INFO] [1698536028.029349031] [robot]: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698536028.034771053] [robot]: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698536028.039726073] [robot]: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698536028.049727113] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698536028.054986134] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698536028.064058170] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698536028.067766185] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698536028.072335204] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698536028.076515220] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698536028.083215247] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698536028.087335264] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698536028.096808302] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698536028.101209319] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698536028.113894370] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698536028.120397396] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698536028.126900422] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698536028.130699437] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698536028.140573477] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698536028.145772498] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698536028.150228515] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698536028.154159531] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698536028.160437556] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698536028.164888574] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698536028.173332608] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698536028.177345624] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698536028.183482649] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698536028.187357664] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698536028.194238692] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698536028.198223708] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698536028.206282740] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698536028.210069755] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698536028.216421781] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698536028.220404797] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698536028.226857822] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698536028.230727838] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698536028.239798874] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698536028.243531889] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698536028.250044915] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698536028.254249932] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698536028.257013943] [environment]: Responding
trials-all-1  | [arm-1] [INFO] [1698536028.267684986] [arm]: success
trials-all-1  | [robot-6] [INFO] [1698536028.273162008] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698536028.276953023] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698536028.278570029] [arm]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698536028.283228048] [arm]: Action: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698536028.295133096] [environment]: Receiving message: a_navto,robot1,Room1
trials-all-1  | [nurse-4] [INFO] [1698536028.295669098] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698536028.300295116] [nurse]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698536028.301265120] [environment]: Action: a_navto
trials-all-1  | [nurse-4] [INFO] [1698536028.304697134] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698536028.310346157] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698536028.316738182] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698536028.316979183] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698536028.325044216] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698536028.333542250] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698536028.340768279] [arm]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698536028.346502302] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698536028.352737327] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698536028.356626342] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698536028.365219377] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [coordinator-2] [INFO] [1698536028.368315389] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [robot-6] [INFO] [1698536028.369089392] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698536028.370852399] [arm]: Action: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698536028.372962408] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698536028.375105416] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698536028.384794455] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698536028.388757471] [nurse]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698536028.394831495] [coordinator]: plans_actions_current 1 of 11
trials-all-1  | [nurse-4] [INFO] [1698536028.398130508] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698536028.402004524] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698536028.403795531] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698536028.408253549] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698536028.418019588] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698536028.422470606] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698536028.426570622] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698536028.430443638] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698536028.438022668] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
