 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [planner-5] [INFO] [1698537760.322173466] [planner]: Receiving sync message. update_state,door_closed,Room3
trials-all-1  | [planner-5] [INFO] [1698537760.326556548] [planner]: door_closed
trials-all-1  | [nurse-4] [INFO] [1698537760.329984612] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698537760.337205748] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698537760.341321825] [robot]: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698537760.352539036] [robot]: Doing a_navto
trials-all-1  | [arm-1] [INFO] [1698537760.354436071] [arm]: success
trials-all-1  | [arm-1] [INFO] [1698537760.361025195] [arm]: Action result: True
trials-all-1  | [coordinator-2] [INFO] [1698537760.361770209] [coordinator]: Planner state updated
trials-all-1  | [arm-1] [INFO] [1698537760.365953287] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698537760.372879417] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698537760.366497297] [coordinator]: Planing
trials-all-1  | [coordinator-2] [INFO] [1698537760.371184385] [coordinator]: Creating plan for: robot1, nurse1, arm1 
trials-all-1  | [robot-6] [INFO] [1698537760.370216367] [robot]: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698537760.378739527] [environment]: Receiving message: a_navto,robot1,Room1
trials-all-1  | [robot-6] [INFO] [1698537760.380858567] [robot]: a_close_drawer
trials-all-1  | [planner-5] [INFO] [1698537760.382018589] [planner]: Receiving sync message. need_plan,robot1,nurse1,arm1
trials-all-1  | [environment-3] [INFO] [1698537760.382675601] [environment]: Action: a_navto
trials-all-1  | [planner-5] [INFO] [1698537760.388597712] [planner]: Creating plan for: robot1 robot1 nurse1
trials-all-1  | [robot-6] [INFO] [1698537760.401174948] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [planner-5] [INFO] [1698537760.403795997] [planner]: a_navto,robot1,Room1
trials-all-1  | [planner-5] [INFO] [1698537760.408696089] [planner]: a_approach_nurse,robot1
trials-all-1  | [environment-3] [INFO] [1698537760.409999114] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698537760.410977132] [robot]: not ready
trials-all-1  | [planner-5] [INFO] [1698537760.413628182] [planner]: a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698537760.422148342] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698537760.426981432] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698537760.430787504] [robot]: not ready
