 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [coordinator-2] [INFO] [1698534077.826267694] [coordinator]: plans_actions_current 1 of 11
trials-all-1  | [robot-6] [INFO] [1698534077.827601672] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698534077.841448444] [arm]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698534077.845900371] [nurse]: not ready
trials-all-1  | [arm-1] [INFO] [1698534077.848534327] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698534077.856080203] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698534077.856931189] [robot]: Action: a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698534077.860403132] [robot]: Doing a_approach_nurse
trials-all-1  | [arm-1] [INFO] [1698534077.857168185] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698534077.867105022] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698534077.870928959] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698534077.874937893] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698534077.879641815] [environment]: Receiving message: a_approach_nurse,robot1
trials-all-1  | [arm-1] [INFO] [1698534077.887228690] [arm]: not ready
trials-all-1  | [nurse-4] [INFO] [1698534077.890103643] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698534077.897329524] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698534077.901538455] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698534077.899999480] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698534077.904065413] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698534077.901085462] [environment]: Action: a_approach_nurse
trials-all-1  | [environment-3] [INFO] [1698534077.904888399] [environment]: Responding
trials-all-1  | [arm-1] [INFO] [1698534077.912494274] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698534077.918073182] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698534077.919647156] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698534077.930803973] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698534077.940072820] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698534077.943901757] [robot]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698534077.935847890] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698534077.939987821] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698534077.939981822] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698534077.943885757] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698534077.948721678] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698534077.953791594] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698534077.958742513] [coordinator]: Receiving sync message: action_complete,a_approach_nurse
trials-all-1  | [arm-1] [INFO] [1698534077.960600482] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698534077.962574449] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698534077.968013360] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698534077.979494171] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698534077.980421156] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698534077.989681003] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698534077.989723002] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698534077.998905851] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698534078.002941785] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698534077.994568923] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698534077.998609856] [coordinator]: plans_actions_current 2 of 11
trials-all-1  | [arm-1] [INFO] [1698534077.998428859] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698534078.002501792] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698534078.009081684] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698534078.012583626] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698534078.014382596] [robot]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698534078.021675476] [robot]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698534078.030931324] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698534078.041047157] [robot]: wating for nurse1 to authenticate to robot1
trials-all-1  | [robot-6] [INFO] [1698534078.049685015] [robot]: Authenticate nurse
trials-all-1  | [robot-6] [INFO] [1698534078.054684932] [robot]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698534078.059356855] [nurse]: success
trials-all-1  | [robot-6] [INFO] [1698534078.061004828] [robot]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698534078.066192743] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698534078.068045712] [nurse]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698534078.077525556] [robot]: Doing a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698534078.078203545] [nurse]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698534078.082437475] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698534078.087755388] [robot]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698534078.089683356] [nurse]: Doing a_deposit
trials-all-1  | [arm-1] [INFO] [1698534078.092966302] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698534078.099385196] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698534078.103377130] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698534078.100291181] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698534078.104217117] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698534078.100623176] [coordinator]: Receiving sync message: action_complete,a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698534078.104353114] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698534078.113121970] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698534078.121491832] [coordinator]: plans_actions_current 3 of 11
trials-all-1  | [nurse-4] [INFO] [1698534078.123275803] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698534078.126389751] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698534078.132760646] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698534078.141745498] [robot]: Action: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698534078.145584435] [robot]: Doing a_open_drawer
trials-all-1  | [nurse-4] [INFO] [1698534078.140667516] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698534078.144353455] [nurse]: Action: a_deposit
trials-all-1  | [arm-1] [INFO] [1698534078.141288506] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698534078.144746449] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698534078.150634352] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698534078.157188244] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698534078.155230276] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698534078.159519206] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698534078.165891101] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698534078.165958100] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698534078.171964001] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698534078.177956902] [coordinator]: Receiving sync message: action_complete,a_open_drawer
trials-all-1  | [coordinator-2] [INFO] [1698534078.181858838] [coordinator]: action_complete
trials-all-1  | [robot-6] [INFO] [1698534078.179823871] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698534078.183616809] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698534078.183114817] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698534078.193345648] [arm]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698534078.194524629] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698534078.206105438] [nurse]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698534078.208835393] [arm]: Action: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698534078.215587282] [coordinator]: plans_actions_current 4 of 11
trials-all-1  | [arm-1] [INFO] [1698534078.220267205] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698534078.228773065] [nurse]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698534078.228999061] [robot]: Action: a_deposit
trials-all-1  | [nurse-4] [INFO] [1698534078.240868866] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698534078.257954584] [robot]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698534078.262596508] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698534078.277260266] [robot]: wating for nurse1 to deposit in robot1
trials-all-1  | [robot-6] [INFO] [1698534078.282727176] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698534078.289976057] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698534078.295187971] [robot]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698534078.291458032] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698534078.295261970] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698534078.301181872] [robot]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698534078.307083775] [robot]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698534078.310928712] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698534078.305817796] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698534078.309376737] [arm]: Doing a_pick_up_sample
