 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [robot-6] [INFO] [1698534646.241892152] [robot]: Robot's actions:
trials-all-1  | [environment-3] [INFO] [1698534646.248702007] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [environment-3] [INFO] [1698534646.254428885] [environment]: Action: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698534646.258094807] [robot]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698534646.262975703] [robot]: a_navto
trials-all-1  | [robot-6] [INFO] [1698534646.275417437] [robot]: Doing a_navto
trials-all-1  | [robot-6] [INFO] [1698534646.281011318] [robot]: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698534646.286087210] [robot]: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698534646.294421032] [robot]: a_deposit
trials-all-1  | [robot-6] [INFO] [1698534646.301602879] [robot]: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698534646.309398713] [robot]: a_navto
trials-all-1  | [robot-6] [INFO] [1698534646.315963573] [robot]: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698534646.322894425] [robot]: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698534646.330139271] [robot]: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698534646.337533113] [robot]: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698534646.347167907] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698534646.354007762] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698534646.366575494] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698534646.370879402] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698534646.375044313] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698534646.379671214] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698534646.387015058] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698534646.395305881] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698534646.388548025] [environment]: Responding
trials-all-1  | [environment-3] [INFO] [1698534646.395799870] [environment]: Receiving message: a_navto,robot1,Room1
trials-all-1  | [arm-1] [INFO] [1698534646.398214819] [arm]: success
trials-all-1  | [nurse-4] [INFO] [1698534646.410498557] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698534646.415891442] [nurse]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698534646.419028375] [environment]: Action: a_navto
trials-all-1  | [nurse-4] [INFO] [1698534646.420283348] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698534646.406303646] [arm]: Action result: True
trials-all-1  | [environment-3] [INFO] [1698534646.427892186] [environment]: Responding
trials-all-1  | [arm-1] [INFO] [1698534646.428321177] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698534646.440581915] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698534646.446748784] [robot]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698534646.447983758] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698534646.452251666] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698534646.464315409] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698534646.468714315] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698534646.469939289] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [coordinator-2] [INFO] [1698534646.474323196] [coordinator]: action_complete
trials-all-1  | [nurse-4] [INFO] [1698534646.481751037] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698534646.485849950] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698534646.484144986] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698534646.488926884] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698534646.490878843] [coordinator]: plans_actions_current 1 of 11
trials-all-1  | [nurse-4] [INFO] [1698534646.496203729] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698534646.498176687] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698534646.503375576] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698534646.515895309] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698534646.517604273] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698534646.519996222] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698534646.520261216] [robot]: Action: a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698534646.532580953] [robot]: Doing a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698534646.535261896] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698534646.540606782] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698534646.548449615] [environment]: Receiving message: a_approach_nurse,robot1
trials-all-1  | [nurse-4] [INFO] [1698534646.553271512] [nurse]: not ready
trials-all-1  | [environment-3] [INFO] [1698534646.554414488] [environment]: Action: a_approach_nurse
trials-all-1  | [nurse-4] [INFO] [1698534646.557654419] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698534646.566952221] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698534646.571458124] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698534646.571578122] [environment]: Responding
trials-all-1  | [nurse-4] [INFO] [1698534646.580876924] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698534646.585618822] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698534646.597249574] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698534646.600081514] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698534646.603939432] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698534646.605039408] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698534646.614386209] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698534646.618980111] [nurse]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698534646.625334975] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698534646.629355890] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698534646.634298784] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698534646.638057704] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698534646.638875687] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698534646.648621479] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698534646.649177467] [coordinator]: Receiving sync message: action_complete,a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698534646.653349378] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698534646.654938344] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698534646.666222104] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698534646.670847005] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698534646.671019001] [arm]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698534646.674655924] [coordinator]: action_complete
trials-all-1  | [nurse-4] [INFO] [1698534646.680559798] [nurse]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698534646.684647711] [coordinator]: plans_actions_current 2 of 11
trials-all-1  | [nurse-4] [INFO] [1698534646.685023703] [nurse]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698534646.691025575] [arm]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698534646.693545521] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698534646.699699390] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698534646.701478352] [robot]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698534646.705856258] [robot]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698534646.706283249] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698534646.713849088] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698534646.715201059] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698534646.721526924] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698534646.729852747] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698534646.734103656] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698534646.738239568] [robot]: wating for nurse1 to authenticate to robot1
trials-all-1  | [arm-1] [INFO] [1698534646.739255546] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698534646.742746472] [robot]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698534646.743739451] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698534646.748589347] [robot]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698534646.766453966] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698534646.770546879] [robot]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698534646.778804703] [robot]: Authenticate nurse
trials-all-1  | [robot-6] [INFO] [1698534646.786235544] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698534646.790591451] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698534646.805736128] [robot]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698534646.788108504] [nurse]: success
trials-all-1  | [nurse-4] [INFO] [1698534646.795741342] [nurse]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698534646.799613259] [nurse]: Action: a_deposit
trials-all-1  | [arm-1] [INFO] [1698534646.798740278] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698534646.803074185] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698534646.807142098] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698534646.812408986] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698534646.817255883] [nurse]: Doing a_deposit
trials-all-1  | [coordinator-2] [INFO] [1698534646.825045717] [coordinator]: Receiving sync message: action_complete,a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698534646.829609619] [coordinator]: action_complete
trials-all-1  | [robot-6] [INFO] [1698534646.835141501] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698534646.842301349] [coordinator]: plans_actions_current 3 of 11
trials-all-1  | [robot-6] [INFO] [1698534646.848862209] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698534646.858506003] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698534646.861329943] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [arm-1] [INFO] [1698534646.865386856] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698534646.873898675] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698534646.880279539] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698534646.884189455] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698534646.882681488] [robot]: Action: a_open_drawer
trials-all-1  | [nurse-4] [INFO] [1698534646.890766315] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698534646.897235177] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698534646.901174093] [nurse]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698534646.899311133] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698534646.908313941] [robot]: Doing a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698534646.914124817] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698534646.916447768] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698534646.926112561] [nurse]: Doing a_deposit
trials-all-1  | [arm-1] [INFO] [1698534646.927483532] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698534646.931712442] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698534646.935199368] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698534646.943466191] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [arm-1] [INFO] [1698534646.944354172] [arm]: Action: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698534646.947171112] [coordinator]: Receiving sync message: action_complete,a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698534646.949610060] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698534646.954448957] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698534646.962140793] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698534646.962760780] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698534646.969130644] [nurse]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698534646.976642484] [coordinator]: plans_actions_current 4 of 11
trials-all-1  | [robot-6] [INFO] [1698534646.982016369] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698534646.984344320] [nurse]: Action: a_deposit
trials-all-1  | [nurse-4] [INFO] [1698534646.993668121] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698534646.994965093] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698534647.006606845] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698534647.011543740] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [arm-1] [INFO] [1698534647.012589717] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698534647.016831627] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698534647.028797372] [nurse]: not ready
trials-all-1  | [arm-1] [INFO] [1698534647.032205299] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698534647.034315254] [nurse]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698534647.042561078] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698534647.044623034] [robot]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698534647.050744904] [robot]: Doing a_deposit
trials-all-1  | [nurse-4] [INFO] [1698534647.057467761] [nurse]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698534647.065556588] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698534647.074355401] [robot]: wating for nurse1 to deposit in robot1
trials-all-1  | [nurse-4] [INFO] [1698534647.078590310] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698534647.083482206] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698534647.090300061] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698534647.099420866] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698534647.100908834] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [arm-1] [INFO] [1698534647.105193743] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698534647.105138744] [robot]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698534647.110918621] [robot]: Deposit
trials-all-1  | [arm-1] [INFO] [1698534647.121324399] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698534647.123278358] [nurse]: success
trials-all-1  | [nurse-4] [INFO] [1698534647.128561245] [nurse]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698534647.134102127] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698534647.138171040] [robot]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698534647.147406843] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698534647.154116700] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698534647.163054510] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698534647.172422310] [arm]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698534647.173494287] [coordinator]: Receiving sync message: action_complete,a_deposit
trials-all-1  | [coordinator-2] [INFO] [1698534647.178733175] [coordinator]: action_complete
