 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [robot-6] [INFO] [1698527996.096698981] [robot]: a_navto
trials-all-1  | [robot-6] [INFO] [1698527996.101161955] [robot]: a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698527996.106565925] [arm]: success
trials-all-1  | [arm-1] [INFO] [1698527996.111097900] [arm]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698527996.106743924] [robot]: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698527996.113925884] [robot]: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698527996.122879834] [robot]: a_close_drawer
trials-all-1  | [arm-1] [INFO] [1698527996.128431803] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698527996.132930777] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698527996.133665773] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698527996.138360747] [environment]: Receiving message: a_navto,robot1,Room1
trials-all-1  | [robot-6] [INFO] [1698527996.140111737] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698527996.145915705] [environment]: Action: a_navto
trials-all-1  | [nurse-4] [INFO] [1698527996.154054659] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698527996.159405629] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698527996.169466573] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698527996.176718532] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698527996.179342517] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698527996.188641465] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698527996.189498460] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698527996.201389394] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698527996.205413371] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698527996.205025373] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698527996.209225350] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698527996.221362282] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698527996.225436259] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698527996.222619275] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698527996.229633235] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698527996.252588107] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698527996.254058099] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698527996.257980077] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698527996.267584023] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698527996.268510018] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698527996.276957970] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698527996.281627944] [arm]: not ready
