 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [robot-6] [INFO] [1698532978.074063412] [robot]: a_navto
trials-all-1  | [arm-1] [INFO] [1698532978.069721468] [arm]: Action: a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698532978.073736417] [arm]: Doing a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698532978.078098361] [robot]: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698532978.083344293] [robot]: a_open_drawer
trials-all-1  | [environment-3] [INFO] [1698532978.089763211] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698532978.089959208] [robot]: a_deposit
trials-all-1  | [robot-6] [INFO] [1698532978.098570097] [robot]: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698532978.103893029] [robot]: a_navto
trials-all-1  | [robot-6] [INFO] [1698532978.110335946] [robot]: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698532978.116134872] [robot]: a_open_drawer
trials-all-1  | [environment-3] [INFO] [1698532978.121997796] [environment]: Receiving message: a_navto,robot1,Room1
trials-all-1  | [robot-6] [INFO] [1698532978.123015783] [robot]: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698532978.127725723] [environment]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698532978.129579699] [robot]: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698532978.145206498] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698532978.150477430] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698532978.152920399] [environment]: Responding
trials-all-1  | [environment-3] [INFO] [1698532978.161656286] [environment]: Receiving message: a_approach_arm,robot1,arm1
trials-all-1  | [environment-3] [INFO] [1698532978.166080229] [environment]: Action: a_approach_arm
trials-all-1  | [nurse-4] [INFO] [1698532978.169554185] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698532978.177592082] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698532978.183068011] [robot]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698532978.187706951] [nurse]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698532978.189702926] [environment]: Responding
trials-all-1  | [coordinator-2] [INFO] [1698532978.205786719] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [coordinator-2] [INFO] [1698532978.209697669] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698532978.213527620] [coordinator]: plans_actions_current 1 of 11
trials-all-1  | [nurse-4] [INFO] [1698532978.206202714] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698532978.210117663] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698532978.207654695] [arm]: success
trials-all-1  | [arm-1] [INFO] [1698532978.212838628] [arm]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698532978.217456569] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698532978.216068587] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [environment-3] [INFO] [1698532978.216982575] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698532978.220443531] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698532978.221445518] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698532978.230475402] [robot]: Action: a_approach_nurse
trials-all-1  | [environment-3] [INFO] [1698532978.231418390] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698532978.239089291] [robot]: Doing a_approach_nurse
trials-all-1  | [nurse-4] [INFO] [1698532978.242160251] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698532978.249824153] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698532978.254923087] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698532978.255783076] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698532978.259942023] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698532978.267106931] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698532978.269939894] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698532978.274632834] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698532978.279147776] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698532978.280052764] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698532978.284700705] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698532978.286112686] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698532978.294571578] [environment]: Receiving message: a_approach_nurse,robot1
trials-all-1  | [nurse-4] [INFO] [1698532978.296565552] [nurse]: not ready
trials-all-1  | [environment-3] [INFO] [1698532978.299120519] [environment]: Action: a_approach_nurse
trials-all-1  | [nurse-4] [INFO] [1698532978.301093494] [nurse]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698532978.303670461] [environment]: Responding
trials-all-1  | [nurse-4] [INFO] [1698532978.313892329] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698532978.321030238] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698532978.324763190] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698532978.332088095] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698532978.334467065] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698532978.342680959] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698532978.346739907] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698532978.350120864] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [environment-3] [INFO] [1698532978.352872828] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698532978.363904686] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698532978.365658664] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698532978.374699548] [robot]: success
trials-all-1  | [nurse-4] [INFO] [1698532978.381838456] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698532978.382288450] [robot]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698532978.386623394] [nurse]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698532978.389183361] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698532978.390691342] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698532978.390745341] [coordinator]: Receiving sync message: action_complete,a_approach_nurse
