 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [robot-6] [INFO] [1698541158.810325469] [robot]: a_navto
trials-all-1  | [nurse-4] [INFO] [1698541158.818107373] [nurse]: Nurse's actions:
trials-all-1  | [robot-6] [INFO] [1698541158.819901351] [robot]: a_approach_nurse
trials-all-1  | [nurse-4] [INFO] [1698541158.825419284] [nurse]: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698541158.830598220] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698541158.834822169] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698541158.827269261] [robot]: Action: a_navto
trials-all-1  | [environment-3] [INFO] [1698541158.827688256] [environment]: Action: monitor
trials-all-1  | [coordinator-2] [INFO] [1698541158.838394125] [coordinator]: Found a problem
trials-all-1  | [nurse-4] [INFO] [1698541158.841485087] [nurse]: a_deposit
trials-all-1  | [coordinator-2] [INFO] [1698541158.850262980] [coordinator]: Updating planner state
trials-all-1  | [robot-6] [INFO] [1698541158.854399929] [robot]: Doing a_navto
trials-all-1  | [planner-5] [INFO] [1698541158.857791887] [planner]: Receiving sync message. update_state,door_closed,Room3
trials-all-1  | [robot-6] [INFO] [1698541158.859687864] [robot]: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698541158.869941739] [robot]: a_deposit
trials-all-1  | [environment-3] [INFO] [1698541158.870341734] [environment]: Receiving message: a_navto,robot1,Room1
trials-all-1  | [robot-6] [INFO] [1698541158.879830617] [robot]: a_close_drawer
trials-all-1  | [planner-5] [INFO] [1698541158.880529609] [planner]: door_closed
trials-all-1  | [environment-3] [INFO] [1698541158.891539474] [environment]: Action: a_navto
trials-all-1  | [coordinator-2] [INFO] [1698541158.894250441] [coordinator]: Planner state updated
trials-all-1  | [environment-3] [INFO] [1698541158.899885372] [environment]: Responding
trials-all-1  | [arm-1] [INFO] [1698541158.901914347] [arm]: Arm's actions:
trials-all-1  | [coordinator-2] [INFO] [1698541158.906166295] [coordinator]: Planing
trials-all-1  | [arm-1] [INFO] [1698541158.910124246] [arm]: a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698541158.916929163] [robot]: a_navto
trials-all-1  | [arm-1] [INFO] [1698541158.919090137] [arm]: Action: a_approach_arm
trials-all-1  | [coordinator-2] [INFO] [1698541158.922074100] [coordinator]: Creating plan for: robot1, nurse1, arm1 
trials-all-1  | [arm-1] [INFO] [1698541158.925613057] [arm]: a_pick_up_sample
trials-all-1  | [planner-5] [INFO] [1698541158.934169952] [planner]: Receiving sync message. need_plan,robot1,nurse1,arm1
trials-all-1  | [robot-6] [INFO] [1698541158.935856931] [robot]: a_approach_arm
trials-all-1  | [arm-1] [INFO] [1698541158.940097879] [arm]: Doing a_approach_arm
trials-all-1  | [robot-6] [INFO] [1698541158.944211829] [robot]: a_open_drawer
