 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [environment-3] [INFO] [1698527303.167485706] [environment]: Action: a_approach_arm
trials-all-1  | [nurse-4] [INFO] [1698527303.174947658] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698527303.175042657] [robot]: success
trials-all-1  | [nurse-4] [INFO] [1698527303.181681614] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698527303.188206571] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698527303.199303499] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [environment-3] [INFO] [1698527303.201835483] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698527303.203434472] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698527303.211579419] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698527303.219464368] [arm]: success
trials-all-1  | [arm-1] [INFO] [1698527303.223591341] [arm]: Action result: True
trials-all-1  | [coordinator-2] [INFO] [1698527303.219904365] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [coordinator-2] [INFO] [1698527303.223959339] [coordinator]: action_complete
trials-all-1  | [nurse-4] [INFO] [1698527303.222126351] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698527303.230519296] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698527303.234772269] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698527303.233059280] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698527303.237050254] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698527303.244535205] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698527303.251051163] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698527303.251998157] [coordinator]: plans_actions_current 1 of 11
trials-all-1  | [nurse-4] [INFO] [1698527303.250311168] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698527303.266395063] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698527303.269256044] [robot]: Action: a_approach_nurse
trials-all-1  | [arm-1] [INFO] [1698527303.271536029] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698527303.276849995] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698527303.276108000] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698527303.280758970] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698527303.286554932] [robot]: Doing a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698527303.293078889] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698527303.304874813] [nurse]: not ready
trials-all-1  | [environment-3] [INFO] [1698527303.309965780] [environment]: Receiving message: a_approach_nurse,robot1
trials-all-1  | [nurse-4] [INFO] [1698527303.311597769] [nurse]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698527303.315293745] [environment]: Action: a_approach_nurse
trials-all-1  | [environment-3] [INFO] [1698527303.319856715] [environment]: Responding
trials-all-1  | [nurse-4] [INFO] [1698527303.325610678] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698527303.326088675] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698527303.332606632] [robot]: not ready
