 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [coordinator-2] [INFO] [1698533414.782811066] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698533414.786734033] [coordinator]: plans_actions_current 3 of 11
trials-all-1  | [nurse-4] [INFO] [1698533414.788361019] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698533414.789579009] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698533414.794726965] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698533414.803869888] [nurse]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698533414.808123852] [arm]: not ready
trials-all-1  | [nurse-4] [INFO] [1698533414.813330807] [nurse]: Action: a_deposit
trials-all-1  | [arm-1] [INFO] [1698533414.813374807] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698533414.823257723] [robot]: Action: a_open_drawer
trials-all-1  | [arm-1] [INFO] [1698533414.823257723] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698533414.827768685] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698533414.827858684] [robot]: Doing a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698533414.836128614] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [arm-1] [INFO] [1698533414.840295579] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698533414.845650534] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698533414.850321494] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698533414.854591458] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698533414.864993370] [coordinator]: Receiving sync message: action_complete,a_open_drawer
trials-all-1  | [nurse-4] [INFO] [1698533414.866197360] [nurse]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698533414.869095335] [coordinator]: action_complete
trials-all-1  | [nurse-4] [INFO] [1698533414.871490315] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698533414.874998285] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698533414.879490247] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698533414.880997234] [nurse]: Action: a_deposit
trials-all-1  | [nurse-4] [INFO] [1698533414.887017183] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698533414.901800058] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [arm-1] [INFO] [1698533414.904793033] [arm]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698533414.906662017] [coordinator]: plans_actions_current 4 of 11
trials-all-1  | [arm-1] [INFO] [1698533414.910817982] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698533414.920883896] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698533414.921562891] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698533414.930762813] [robot]: Action: a_deposit
trials-all-1  | [nurse-4] [INFO] [1698533414.933571789] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698533414.934823778] [robot]: Doing a_deposit
trials-all-1  | [arm-1] [INFO] [1698533414.936234766] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698533414.940021734] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698533414.945947684] [nurse]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698533414.949302656] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698533414.952423629] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698533414.954893608] [robot]: wating for nurse1 to deposit in robot1
trials-all-1  | [robot-6] [INFO] [1698533414.968910489] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698533414.973468451] [robot]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698533414.977148420] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698533414.984407358] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [arm-1] [INFO] [1698533414.988555323] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698533414.989396316] [robot]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698533414.993742279] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698533414.997441248] [robot]: Deposit
trials-all-1  | [arm-1] [INFO] [1698533414.999146233] [arm]: Action result: False
