 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [arm-1] [INFO] [1698533948.781400585] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698533948.785482511] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698533948.782332568] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698533948.786355496] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698533948.800409242] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698533948.802009213] [robot]: Action: a_approach_nurse
trials-all-1  | [nurse-4] [INFO] [1698533948.809533078] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698533948.813277010] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698533948.809706075] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698533948.813304010] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698533948.814728984] [robot]: Doing a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698533948.821951854] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698533948.827278758] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698533948.831839676] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698533948.833262650] [environment]: Receiving message: a_approach_nurse,robot1
trials-all-1  | [arm-1] [INFO] [1698533948.840868513] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698533948.845525429] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698533948.846464412] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698533948.850003348] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698533948.853221290] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698533948.855729245] [environment]: Action: a_approach_nurse
trials-all-1  | [environment-3] [INFO] [1698533948.863022114] [environment]: Responding
trials-all-1  | [nurse-4] [INFO] [1698533948.869639995] [nurse]: not ready
trials-all-1  | [arm-1] [INFO] [1698533948.870338982] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698533948.877160859] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698533948.882263767] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698533948.887325676] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698533948.893507564] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698533948.900210444] [robot]: success
trials-all-1  | [arm-1] [INFO] [1698533948.902498402] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698533948.905723344] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698533948.912826216] [arm]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698533948.920031086] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698533948.921479060] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698533948.931834874] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698533948.937464772] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698533948.940380720] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698533948.950639535] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698533948.957313414] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698533948.957236416] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698533948.961418340] [coordinator]: Receiving sync message: action_complete,a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698533948.962490321] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698533948.967419232] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698533948.973398125] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698533948.980341999] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698533948.987013879] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698533948.988228857] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698533948.992712776] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698533948.992930772] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698533948.994378746] [coordinator]: plans_actions_current 2 of 11
trials-all-1  | [robot-6] [INFO] [1698533949.000608634] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698533949.009011483] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698533949.019487294] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698533949.031697074] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698533949.035469006] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698533949.043339864] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698533949.045673822] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698533949.057574607] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698533949.061674534] [robot]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698533949.061971528] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698533949.068688407] [robot]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698533949.070897367] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698533949.075583283] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698533949.080423196] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698533949.084284126] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698533949.088836044] [robot]: wating for nurse1 to authenticate to robot1
trials-all-1  | [robot-6] [INFO] [1698533949.093544959] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698533949.098838864] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698533949.108108697] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698533949.110855647] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698533949.112332621] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698533949.117142534] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698533949.120628471] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698533949.117878521] [robot]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698533949.121298459] [robot]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698533949.128770324] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698533949.135070211] [robot]: Authenticate nurse
trials-all-1  | [coordinator-2] [INFO] [1698533949.141606093] [coordinator]: Receiving sync message: action_complete,a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698533949.146010014] [coordinator]: action_complete
trials-all-1  | [nurse-4] [INFO] [1698533949.160904745] [nurse]: success
trials-all-1  | [nurse-4] [INFO] [1698533949.165790657] [nurse]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698533949.174889493] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698533949.180450393] [nurse]: Action: a_deposit
trials-all-1  | [nurse-4] [INFO] [1698533949.184427321] [nurse]: Doing a_deposit
trials-all-1  | [coordinator-2] [INFO] [1698533949.181228379] [coordinator]: plans_actions_current 3 of 11
trials-all-1  | [robot-6] [INFO] [1698533949.184326323] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698533949.195507121] [arm]: not ready
