 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [nurse-4] [INFO] [1698534338.909771028] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698534338.906467075] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698534338.910186022] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698534338.921214863] [arm]: not ready
trials-all-1  | [nurse-4] [INFO] [1698534338.921837854] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698534338.923179835] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698534338.927887767] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698534338.930830725] [arm]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698534338.933497687] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698534338.939922594] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698534338.943658541] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698534338.941741568] [coordinator]: Receiving sync message: action_complete,a_approach_nurse
trials-all-1  | [coordinator-2] [INFO] [1698534338.945554513] [coordinator]: action_complete
trials-all-1  | [robot-6] [INFO] [1698534338.942344559] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698534338.946635498] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698534338.955305373] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698534338.959675310] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698534338.957715339] [nurse]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698534338.966600211] [coordinator]: plans_actions_current 2 of 11
trials-all-1  | [arm-1] [INFO] [1698534338.972577125] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698534338.977354056] [robot]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698534338.978674037] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698534338.984479954] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698534338.986539924] [robot]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698534338.987104916] [arm]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698534338.996884776] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698534338.997092773] [robot]: wating for nurse1 to authenticate to robot1
trials-all-1  | [robot-6] [INFO] [1698534339.006599636] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698534339.000015731] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698534339.006072643] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698534339.020810432] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698534339.024683376] [robot]: Authenticate nurse
trials-all-1  | [nurse-4] [INFO] [1698534339.036984199] [nurse]: success
trials-all-1  | [nurse-4] [INFO] [1698534339.041038141] [nurse]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698534339.046534062] [robot]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698534339.049818014] [nurse]: Action: a_deposit
trials-all-1  | [nurse-4] [INFO] [1698534339.053761958] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698534339.050548004] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698534339.054833942] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698534339.064213807] [robot]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698534339.065688786] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698534339.086973480] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [arm-1] [INFO] [1698534339.087505472] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698534339.094296375] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698534339.097653327] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698534339.106523199] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698534339.107312188] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698534339.114092090] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698534339.118225031] [nurse]: Action: a_deposit
trials-all-1  | [arm-1] [INFO] [1698534339.111232131] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698534339.114376086] [coordinator]: Receiving sync message: action_complete,a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698534339.118225031] [coordinator]: action_complete
trials-all-1  | [robot-6] [INFO] [1698534339.117614039] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698534339.121454984] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698534339.122170974] [nurse]: Doing a_deposit
trials-all-1  | [coordinator-2] [INFO] [1698534339.127036904] [coordinator]: plans_actions_current 3 of 11
trials-all-1  | [arm-1] [INFO] [1698534339.129978862] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698534339.134480797] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698534339.143074673] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698534339.147432611] [robot]: not ready
