 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [nurse-4] [INFO] [1698534212.139107954] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698534212.145224856] [robot]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698534212.150444773] [robot]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698534212.151888750] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698534212.160182618] [robot]: wating for nurse1 to authenticate to robot1
trials-all-1  | [nurse-4] [INFO] [1698534212.164456550] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698534212.167024509] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698534212.172051428] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698534212.178289329] [robot]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698534212.180117300] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698534212.183919239] [robot]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698534212.185926207] [robot]: Authenticate nurse
trials-all-1  | [nurse-4] [INFO] [1698534212.201652956] [nurse]: success
trials-all-1  | [nurse-4] [INFO] [1698534212.212029791] [nurse]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698534212.217974696] [robot]: Doing a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698534212.228435529] [nurse]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698534212.229538511] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698534212.232698461] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698534212.237623382] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698534212.247602223] [arm]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698534212.255242101] [coordinator]: Receiving sync message: action_complete,a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698534212.255681094] [arm]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698534212.252810140] [nurse]: Doing a_deposit
trials-all-1  | [coordinator-2] [INFO] [1698534212.267853900] [coordinator]: action_complete
trials-all-1  | [robot-6] [INFO] [1698534212.268456890] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [arm-1] [INFO] [1698534212.269801869] [arm]: Action: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698534212.274011802] [coordinator]: plans_actions_current 3 of 11
trials-all-1  | [robot-6] [INFO] [1698534212.280374700] [robot]: not ready
