 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [robot-6] [INFO] [1698530449.078891730] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698530449.083202731] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698530449.086321731] [arm]: Action: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698530449.089058731] [coordinator]: plans_actions_current 1 of 11
trials-all-1  | [arm-1] [INFO] [1698530449.090795731] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698530449.101737732] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698530449.106123733] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698530449.103678733] [robot]: Action: a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698530449.107753733] [robot]: Doing a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698530449.117191734] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698530449.121686734] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698530449.122614734] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698530449.127962735] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698530449.125998735] [environment]: Receiving message: a_approach_nurse,robot1
trials-all-1  | [environment-3] [INFO] [1698530449.130658735] [environment]: Action: a_approach_nurse
trials-all-1  | [arm-1] [INFO] [1698530449.130688735] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698530449.134886735] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698530449.144488736] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698530449.149204737] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698530449.151220737] [environment]: Responding
trials-all-1  | [arm-1] [INFO] [1698530449.159067737] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698530449.163320738] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698530449.175825739] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698530449.180169739] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698530449.187439740] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698530449.192079740] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698530449.202753741] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698530449.207206742] [arm]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698530449.209429742] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698530449.211596742] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698530449.217866742] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698530449.222410743] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698530449.229679743] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698530449.236543744] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698530449.237491744] [coordinator]: Receiving sync message: action_complete,a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698530449.240682744] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698530449.243979745] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698530449.245565745] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698530449.252633745] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698530449.256951746] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698530449.265974747] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
