 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [arm-1] [INFO] [1698540804.522890730] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698540804.532640509] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698540804.535029455] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698540804.541751302] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698540804.551203088] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698540804.555181998] [nurse]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698540804.551631078] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698540804.555897981] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698540804.569857665] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698540804.576892505] [robot]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698540804.581815393] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698540804.585811303] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698540804.585870301] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698540804.594646102] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698540804.602390927] [coordinator]: Receiving sync message: action_complete,a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698540804.602643921] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698540804.603717897] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698540804.608110797] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698540804.608323792] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698540804.614168660] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698540804.618056571] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698540804.622016482] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698540804.615466630] [coordinator]: plans_actions_current 2 of 11
trials-all-1  | [nurse-4] [INFO] [1698540804.616678603] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698540804.621137502] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698540804.624677421] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698540804.623708443] [robot]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698540804.631606264] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698540804.635364179] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698540804.637818123] [robot]: Doing a_authenticate_nurse
