 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [environment-3] [INFO] [1698530582.411966807] [environment]: Receiving message: a_approach_nurse,robot1
trials-all-1  | [arm-1] [INFO] [1698530582.416893818] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698530582.418636823] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698530582.430553851] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698530582.427672844] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698530582.431175852] [nurse]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698530582.429219847] [environment]: Action: a_approach_nurse
trials-all-1  | [environment-3] [INFO] [1698530582.432912856] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698530582.439067871] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698530582.442030878] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698530582.445767886] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698530582.447497890] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698530582.453970906] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698530582.467522938] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698530582.471699947] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698530582.480862969] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698530582.490200991] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698530582.492193996] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698530582.496308005] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698530582.499780013] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698530582.494986002] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698530582.498816011] [robot]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698530582.508220033] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698530582.508603034] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698530582.514227047] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698530582.516048052] [coordinator]: Receiving sync message: action_complete,a_approach_nurse
trials-all-1  | [arm-1] [INFO] [1698530582.526561076] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698530582.536426100] [arm]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698530582.538603105] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698530582.546663124] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698530582.548851129] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [coordinator-2] [INFO] [1698530582.549157129] [coordinator]: plans_actions_current 2 of 11
trials-all-1  | [robot-6] [INFO] [1698530582.558742152] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698530582.561522159] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698530582.571426182] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698530582.575178191] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698530582.579066200] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698530582.574944190] [robot]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698530582.578952200] [robot]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698530582.582800209] [robot]: wating for nurse1 to authenticate to robot1
trials-all-1  | [robot-6] [INFO] [1698530582.590301226] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698530582.596698241] [robot]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698530582.593462234] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698530582.606901265] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698530582.619420295] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698530582.629559319] [robot]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698530582.633401328] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698530582.639466342] [robot]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698530582.644283353] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698530582.648204362] [robot]: Authenticate nurse
trials-all-1  | [arm-1] [INFO] [1698530582.645531356] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698530582.649395365] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698530582.658309386] [nurse]: success
trials-all-1  | [nurse-4] [INFO] [1698530582.662508396] [nurse]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698530582.666423405] [nurse]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698530582.659590389] [robot]: wating for nurse1 to authenticate to robot1
trials-all-1  | [robot-6] [INFO] [1698530582.664668401] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698530582.668375410] [robot]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698530582.674802425] [robot]: Doing a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698530582.682434443] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698530582.689118459] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698530582.698909482] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698530582.705017496] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698530582.714224518] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698530582.719203529] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698530582.722937538] [arm]: Action: a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698530582.715139520] [coordinator]: Receiving sync message: action_complete,a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698530582.719155529] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698530582.723686540] [coordinator]: plans_actions_current 3 of 11
trials-all-1  | [robot-6] [INFO] [1698530582.718853529] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698530582.723008538] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698530582.733278562] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698530582.737462572] [nurse]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698530582.735274567] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698530582.752990609] [nurse]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698530582.761130628] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698530582.762878632] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698530582.771503652] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698530582.782152677] [robot]: Action: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698530582.786019687] [robot]: Doing a_open_drawer
trials-all-1  | [arm-1] [INFO] [1698530582.780803674] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698530582.785311685] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698530582.790346697] [robot]: success
trials-all-1  | [arm-1] [INFO] [1698530582.795342708] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698530582.798057715] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698530582.803848728] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698530582.804484730] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698530582.811097746] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698530582.819390765] [coordinator]: Receiving sync message: action_complete,a_open_drawer
trials-all-1  | [nurse-4] [INFO] [1698530582.821181769] [nurse]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698530582.825764780] [coordinator]: action_complete
trials-all-1  | [nurse-4] [INFO] [1698530582.830569791] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698530582.840011814] [nurse]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698530582.842515819] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698530582.845258826] [coordinator]: plans_actions_current 4 of 11
trials-all-1  | [nurse-4] [INFO] [1698530582.848894834] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698530582.856043851] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698530582.867084877] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698530582.870836886] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698530582.865441873] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698530582.869224882] [arm]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698530582.880423909] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698530582.884036917] [nurse]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698530582.880552909] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698530582.884000917] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698530582.895474944] [robot]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698530582.902653961] [robot]: Doing a_deposit
trials-all-1  | [nurse-4] [INFO] [1698530582.910100978] [nurse]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698530582.918313998] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698530582.924458012] [robot]: wating for nurse1 to deposit in robot1
trials-all-1  | [nurse-4] [INFO] [1698530582.929039023] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698530582.937496043] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698530582.944036058] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698530582.947808067] [robot]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698530582.951138075] [robot]: Doing a_deposit
trials-all-1  | [arm-1] [INFO] [1698530582.946591064] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698530582.950521073] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698530582.957641090] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698530582.961406099] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698530582.958852093] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698530582.962652102] [robot]: Deposit
trials-all-1  | [nurse-4] [INFO] [1698530582.975857133] [nurse]: success
trials-all-1  | [robot-6] [INFO] [1698530582.987528160] [robot]: wating for nurse1 to deposit in robot1
trials-all-1  | [nurse-4] [INFO] [1698530582.988015162] [nurse]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698530583.001343193] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698530583.005106202] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698530583.009627212] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698530583.013706221] [robot]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698530583.017304230] [robot]: Doing a_deposit
trials-all-1  | [arm-1] [INFO] [1698530583.012658219] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698530583.016339227] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698530583.020190236] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698530583.029504258] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698530583.042902288] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698530583.054150314] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698530583.058024323] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698530583.070527352] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698530583.074732361] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698530583.078560370] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698530583.084982385] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698530583.089009394] [coordinator]: Receiving sync message: action_complete,a_deposit
trials-all-1  | [coordinator-2] [INFO] [1698530583.093244404] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698530583.096638412] [coordinator]: plans_actions_current 5 of 11
trials-all-1  | [robot-6] [INFO] [1698530583.091130399] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698530583.095069408] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698530583.109603441] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698530583.113914451] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698530583.117946460] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698530583.109859442] [robot]: Action: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698530583.114169452] [robot]: Doing a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698530583.117791460] [robot]: success
trials-all-1  | [arm-1] [INFO] [1698530583.127025481] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698530583.145383523] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698530583.148603531] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698530583.153993543] [robot]: not ready
