 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [nurse-4] [INFO] [1698535760.810065535] [nurse]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698535760.810277538] [environment]: Action: a_approach_nurse
trials-all-1  | [nurse-4] [INFO] [1698535760.815266592] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698535760.819777642] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698535760.823636684] [arm]: Action: a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698535760.827818730] [environment]: Responding
trials-all-1  | [robot-6] [INFO] [1698535760.832500781] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698535760.840553869] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698535760.844062908] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698535760.852841004] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698535760.856995050] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698535760.862290108] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698535760.868060171] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698535760.872003214] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698535760.875702255] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698535760.886299371] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698535760.889839409] [robot]: success
trials-all-1  | [arm-1] [INFO] [1698535760.890486417] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698535760.906373591] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698535760.906504592] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698535760.908322612] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [arm-1] [INFO] [1698535760.911399646] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698535760.915955696] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698535760.925815804] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698535760.926694813] [nurse]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698535760.930586856] [coordinator]: Receiving sync message: action_complete,a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698535760.932820880] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698535760.934644900] [coordinator]: action_complete
trials-all-1  | [nurse-4] [INFO] [1698535760.939849957] [nurse]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698535760.941942980] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698535760.946183027] [arm]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698535760.944679010] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698535760.951094081] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698535760.962668207] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698535760.964194224] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698535760.970380292] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698535760.981244411] [robot]: not ready
