 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [robot-6] [INFO] [1698540409.313677971] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698540409.317803025] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698540409.318134030] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698540409.327198149] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698540409.331041199] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698540409.334407243] [robot]: success
trials-all-1  | [arm-1] [INFO] [1698540409.334852249] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698540409.342393348] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698540409.348004422] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698540409.354087501] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [coordinator-2] [INFO] [1698540409.358410558] [coordinator]: Receiving sync message: action_complete,a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698540409.360582587] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698540409.362557612] [coordinator]: action_complete
trials-all-1  | [nurse-4] [INFO] [1698540409.376038789] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698540409.379729838] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698540409.383427886] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698540409.382182870] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698540409.386093921] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698540409.386312924] [coordinator]: plans_actions_current 2 of 11
trials-all-1  | [nurse-4] [INFO] [1698540409.389960972] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698540409.393750022] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698540409.397632072] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698540409.403844154] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698540409.411638256] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698540409.417916339] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698540409.421989392] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698540409.421864390] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698540409.429127486] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698540409.436206578] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698540409.442292658] [robot]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698540409.448073734] [robot]: Doing a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698540409.458600872] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698540409.468756005] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698540409.471830046] [robot]: wating for nurse1 to authenticate to robot1
trials-all-1  | [robot-6] [INFO] [1698540409.478628135] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698540409.484884217] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698540409.493141325] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698540409.497209379] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698540409.499163404] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698540409.505131483] [robot]: Authenticate nurse
trials-all-1  | [arm-1] [INFO] [1698540409.509582541] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698540409.513801596] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698540409.516553632] [nurse]: success
trials-all-1  | [nurse-4] [INFO] [1698540409.522060705] [nurse]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698540409.527485776] [nurse]: Action: a_deposit
trials-all-1  | [nurse-4] [INFO] [1698540409.531810832] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698540409.526053757] [robot]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698540409.530051809] [robot]: Doing a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698540409.541647962] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698540409.550303075] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698540409.555661145] [coordinator]: Receiving sync message: action_complete,a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698540409.556107151] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698540409.565154270] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698540409.569519327] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698540409.572583367] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698540409.574567393] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698540409.578238441] [coordinator]: plans_actions_current 3 of 11
trials-all-1  | [robot-6] [INFO] [1698540409.579974464] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698540409.580649473] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698540409.589583590] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698540409.593336640] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698540409.602930765] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698540409.611641880] [nurse]: Action: a_deposit
trials-all-1  | [nurse-4] [INFO] [1698540409.615468930] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698540409.613728907] [robot]: Action: a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698540409.625676064] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698540409.630882132] [robot]: Doing a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698540409.639491245] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698540409.648411362] [robot]: success
trials-all-1  | [arm-1] [INFO] [1698540409.648812367] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698540409.652666418] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698540409.656383466] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698540409.660786524] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698540409.663132555] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698540409.669312636] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698540409.671415664] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698540409.677484743] [coordinator]: Receiving sync message: action_complete,a_open_drawer
trials-all-1  | [nurse-4] [INFO] [1698540409.682404808] [nurse]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698540409.684620837] [coordinator]: action_complete
trials-all-1  | [nurse-4] [INFO] [1698540409.687880880] [nurse]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698540409.688360886] [coordinator]: plans_actions_current 4 of 11
trials-all-1  | [nurse-4] [INFO] [1698540409.699092027] [nurse]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698540409.704969104] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698540409.709331161] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698540409.716540256] [robot]: not ready
