 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [coordinator-2] [INFO] [1698538913.706659447] [coordinator]: Receiving sync message: action_complete,a_navto
trials-all-1  | [nurse-4] [INFO] [1698538913.712059295] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [environment-3] [INFO] [1698538913.715009212] [environment]: Action: a_approach_arm
trials-all-1  | [environment-3] [INFO] [1698538913.720173066] [environment]: Responding
trials-all-1  | [nurse-4] [INFO] [1698538913.720535056] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [coordinator-2] [INFO] [1698538913.727250867] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698538913.732961706] [arm]: success
trials-all-1  | [coordinator-2] [INFO] [1698538913.733708685] [coordinator]: plans_actions_current 1 of 11
trials-all-1  | [robot-6] [INFO] [1698538913.745427354] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698538913.749884229] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698538913.746353328] [arm]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698538913.758857976] [arm]: Action: a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698538913.769927664] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698538913.776594476] [robot]: Action: a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698538913.781982324] [robot]: Doing a_approach_nurse
trials-all-1  | [arm-1] [INFO] [1698538913.783196290] [arm]: Doing a_pick_up_sample
trials-all-1  | [nurse-4] [INFO] [1698538913.785592222] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698538913.795296948] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698538913.800598799] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698538913.803298723] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698538913.804656685] [environment]: Receiving message: a_approach_nurse,robot1
trials-all-1  | [environment-3] [INFO] [1698538913.817750316] [environment]: Action: a_approach_nurse
trials-all-1  | [arm-1] [INFO] [1698538913.818118305] [arm]: not ready
trials-all-1  | [nurse-4] [INFO] [1698538913.820504238] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698538913.822302187] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698538913.827534040] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698538913.831651924] [arm]: Doing a_pick_up_sample
