 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [coordinator-2] [INFO] [1698537665.459527263] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698537665.464096352] [coordinator]: plans_actions_current 1 of 11
trials-all-1  | [arm-1] [INFO] [1698537665.464253355] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698537665.468722441] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698537665.467946426] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698537665.471345492] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698537665.479025641] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698537665.482881716] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698537665.479167644] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698537665.482949717] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698537665.489250840] [nurse]: Action: a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698537665.497834006] [nurse]: Doing a_authenticate_nurse
trials-all-1  | [arm-1] [INFO] [1698537665.512362288] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698537665.513048301] [robot]: Action: a_approach_nurse
trials-all-1  | [arm-1] [INFO] [1698537665.525455542] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698537665.529562622] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698537665.536430755] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698537665.531110652] [robot]: Doing a_approach_nurse
trials-all-1  | [robot-6] [INFO] [1698537665.536390754] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [robot-6] [INFO] [1698537665.542679876] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698537665.544359909] [environment]: Receiving message: a_approach_nurse,robot1
trials-all-1  | [environment-3] [INFO] [1698537665.549177002] [environment]: Action: a_approach_nurse
trials-all-1  | [nurse-4] [INFO] [1698537665.557510164] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698537665.563567282] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698537665.556986154] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
